jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.74,36.32,小型汽车,61,2021,3,1,31卡口
115.74,36.32,大型汽车,1,2021,3,1,31卡口
115.74,36.32,小型汽车,141,2021,3,1,31卡口
115.74,36.32,大型汽车,2,2021,3,1,31卡口
115.74,36.32,小型普通客车,641,2021,3,1,31卡口
115.74,36.32,重型栏板货车,6,2021,3,1,31卡口
115.74,36.32,小型普通客车,771,2021,3,1,31卡口
115.74,36.32,重型栏板货车,3,2021,3,1,31卡口
115.74,36.32,小型普通客车,1312,2021,3,1,31卡口
115.74,36.32,重型栏板货车,2,2021,3,1,31卡口
115.74,36.32,小型汽车,84,2021,3,2,31卡口
115.74,36.32,大型汽车,1,2021,3,2,31卡口
115.74,36.32,小型汽车,140,2021,3,2,31卡口
115.74,36.32,大型汽车,1,2021,3,2,31卡口
115.74,36.32,小型普通客车,510,2021,3,2,31卡口
115.74,36.32,重型栏板货车,8,2021,3,2,31卡口
115.74,36.32,小型普通客车,741,2021,3,2,31卡口
115.74,36.32,重型栏板货车,7,2021,3,2,31卡口
115.74,36.32,小型普通客车,1290,2021,3,2,31卡口
115.74,36.32,重型栏板货车,1,2021,3,2,31卡口
115.74,36.32,小型汽车,44,2021,3,3,31卡口
115.74,36.32,大型汽车,1,2021,3,3,31卡口
115.74,36.32,小型汽车,135,2021,3,3,31卡口
115.74,36.32,大型汽车,2,2021,3,3,31卡口
115.74,36.32,小型普通客车,17,2021,3,3,31卡口
115.74,36.32,重型栏板货车,3,2021,3,3,31卡口
115.74,36.32,小型普通客车,553,2021,3,3,31卡口
115.74,36.32,重型栏板货车,9,2021,3,3,31卡口
115.74,36.32,小型普通客车,727,2021,3,3,31卡口
115.74,36.32,重型栏板货车,7,2021,3,3,31卡口
115.74,36.32,小型普通客车,1276,2021,3,3,31卡口
115.74,36.32,重型栏板货车,1,2021,3,3,31卡口
115.74,36.32,小型汽车,4,2021,3,4,31卡口
115.74,36.32,大型汽车,1,2021,3,4,31卡口
115.74,36.32,小型汽车,49,2021,3,4,31卡口
115.74,36.32,大型汽车,1,2021,3,4,31卡口
115.74,36.32,小型汽车,95,2021,3,4,31卡口
115.74,36.32,大型汽车,2,2021,3,4,31卡口
