jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.19,36.28,小型汽车,51,2021,3,1,361卡口
116.19,36.28,大型汽车,1,2021,3,1,361卡口
116.19,36.28,小型汽车,29,2021,3,1,361卡口
116.19,36.28,大型汽车,1,2021,3,1,361卡口
116.19,36.28,其它,4,2021,3,1,361卡口
116.19,36.28,小型普通客车,3,2021,3,1,361卡口
116.19,36.28,其它,555,2021,3,1,361卡口
116.19,36.28,小型普通客车,87,2021,3,1,361卡口
116.19,36.28,其它,208,2021,3,1,361卡口
116.19,36.28,小型普通客车,43,2021,3,1,361卡口
116.19,36.28,重型栏板货车,3,2021,3,1,361卡口
116.19,36.28,其它,250,2021,3,1,361卡口
116.19,36.28,小型普通客车,50,2021,3,1,361卡口
116.19,36.28,其它,8,2021,3,2,361卡口
116.19,36.28,小型普通客车,1,2021,3,2,361卡口
116.19,36.28,其它,508,2021,3,2,361卡口
116.19,36.28,小型普通客车,95,2021,3,2,361卡口
116.19,36.28,重型栏板货车,1,2021,3,2,361卡口
116.19,36.28,其它,195,2021,3,2,361卡口
116.19,36.28,小型普通客车,55,2021,3,2,361卡口
116.19,36.28,其它,264,2021,3,2,361卡口
116.19,36.28,小型普通客车,56,2021,3,2,361卡口
116.19,36.28,重型栏板货车,3,2021,3,2,361卡口
116.19,36.28,小型汽车,30,2021,3,3,361卡口
116.19,36.28,大型汽车,1,2021,3,3,361卡口
116.19,36.28,其它,3,2021,3,3,361卡口
116.19,36.28,小型普通客车,1,2021,3,3,361卡口
116.19,36.28,其它,528,2021,3,3,361卡口
116.19,36.28,小型普通客车,85,2021,3,3,361卡口
116.19,36.28,重型栏板货车,9,2021,3,3,361卡口
116.19,36.28,其它,193,2021,3,3,361卡口
116.19,36.28,小型普通客车,61,2021,3,3,361卡口
116.19,36.28,重型栏板货车,2,2021,3,3,361卡口
116.19,36.28,其它,234,2021,3,3,361卡口
116.19,36.28,小型普通客车,47,2021,3,3,361卡口
116.19,36.28,重型栏板货车,1,2021,3,3,361卡口
116.19,36.28,小型汽车,48,2021,3,4,361卡口
116.19,36.28,大型汽车,1,2021,3,4,361卡口
116.19,36.28,小型汽车,37,2021,3,4,361卡口
116.19,36.28,大型汽车,1,2021,3,4,361卡口
116.19,36.28,小型汽车,25,2021,3,4,361卡口
116.19,36.28,大型汽车,1,2021,3,4,361卡口
116.19,36.28,其它,4,2021,3,4,361卡口
116.19,36.28,小型普通客车,2,2021,3,4,361卡口
116.19,36.28,其它,508,2021,3,4,361卡口
116.19,36.28,小型普通客车,76,2021,3,4,361卡口
116.19,36.28,重型栏板货车,1,2021,3,4,361卡口
116.19,36.28,其它,197,2021,3,4,361卡口
116.19,36.28,小型普通客车,51,2021,3,4,361卡口
116.19,36.28,其它,273,2021,3,4,361卡口
116.19,36.28,小型普通客车,47,2021,3,4,361卡口
116.19,36.28,重型栏板货车,2,2021,3,4,361卡口
116.19,36.28,小型汽车,36,2021,3,5,361卡口
116.19,36.28,大型汽车,1,2021,3,5,361卡口
116.19,36.28,其它,515,2021,3,5,361卡口
116.19,36.28,小型普通客车,71,2021,3,5,361卡口
116.19,36.28,重型栏板货车,2,2021,3,5,361卡口
116.19,36.28,其它,200,2021,3,5,361卡口
116.19,36.28,小型普通客车,48,2021,3,5,361卡口
116.19,36.28,重型栏板货车,1,2021,3,5,361卡口
116.19,36.28,其它,289,2021,3,5,361卡口
116.19,36.28,小型普通客车,29,2021,3,5,361卡口
116.19,36.28,重型栏板货车,3,2021,3,5,361卡口
116.19,36.28,小型汽车,17,2021,3,6,361卡口
116.19,36.28,大型汽车,1,2021,3,6,361卡口
116.19,36.28,小型汽车,32,2021,3,6,361卡口
116.19,36.28,大型汽车,2,2021,3,6,361卡口
116.19,36.28,其它,3,2021,3,6,361卡口
116.19,36.28,小型普通客车,2,2021,3,6,361卡口
116.19,36.28,其它,70,2021,3,6,361卡口
116.19,36.28,小型普通客车,16,2021,3,6,361卡口
116.19,36.28,重型栏板货车,1,2021,3,6,361卡口
116.19,36.28,其它,128,2021,3,6,361卡口
116.19,36.28,小型普通客车,29,2021,3,6,361卡口
116.19,36.28,重型栏板货车,1,2021,3,6,361卡口
116.19,36.28,其它,215,2021,3,6,361卡口
116.19,36.28,小型普通客车,54,2021,3,6,361卡口
116.19,36.28,重型栏板货车,1,2021,3,6,361卡口
116.19,36.28,小型汽车,36,2021,3,7,361卡口
116.19,36.28,大型汽车,3,2021,3,7,361卡口
116.19,36.28,其它,227,2021,3,7,361卡口
116.19,36.28,小型普通客车,83,2021,3,7,361卡口
116.19,36.28,重型栏板货车,1,2021,3,7,361卡口
116.19,36.28,其它,205,2021,3,7,361卡口
116.19,36.28,小型普通客车,54,2021,3,7,361卡口
116.19,36.28,其它,230,2021,3,7,361卡口
