jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.01,36.54,大型汽车,1,2021,3,1,248卡口
116.01,36.54,小型汽车,1,2021,3,1,248卡口
116.01,36.54,小型汽车,66,2021,3,1,248卡口
116.01,36.54,大型汽车,2,2021,3,1,248卡口
116.01,36.54,小型汽车,39,2021,3,1,248卡口
116.01,36.54,大型汽车,2,2021,3,1,248卡口
116.01,36.54,其它,5,2021,3,1,248卡口
116.01,36.54,大型普通客车,3,2021,3,1,248卡口
116.01,36.54,大型普通客车,588,2021,3,1,248卡口
116.01,36.54,其它,282,2021,3,1,248卡口
116.01,36.54,小型普通客车,18,2021,3,1,248卡口
116.01,36.54,重型栏板货车,6,2021,3,1,248卡口
116.01,36.54,微型栏板货车,6,2021,3,1,248卡口
116.01,36.54,大型普通客车,183,2021,3,1,248卡口
116.01,36.54,其它,101,2021,3,1,248卡口
116.01,36.54,小型普通客车,15,2021,3,1,248卡口
116.01,36.54,重型栏板货车,7,2021,3,1,248卡口
116.01,36.54,微型栏板货车,7,2021,3,1,248卡口
116.01,36.54,中型栏板货车,4,2021,3,1,248卡口
116.01,36.54,大型普通客车,513,2021,3,1,248卡口
116.01,36.54,其它,236,2021,3,1,248卡口
116.01,36.54,小型普通客车,26,2021,3,1,248卡口
116.01,36.54,微型栏板货车,4,2021,3,1,248卡口
116.01,36.54,小型汽车,28,2021,3,2,248卡口
116.01,36.54,大型汽车,2,2021,3,2,248卡口
116.01,36.54,小型汽车,74,2021,3,2,248卡口
116.01,36.54,大型汽车,1,2021,3,2,248卡口
116.01,36.54,其它,7,2021,3,2,248卡口
116.01,36.54,大型普通客车,5,2021,3,2,248卡口
116.01,36.54,重型栏板货车,1,2021,3,2,248卡口
116.01,36.54,微型栏板货车,1,2021,3,2,248卡口
116.01,36.54,大型普通客车,595,2021,3,2,248卡口
116.01,36.54,其它,259,2021,3,2,248卡口
116.01,36.54,小型普通客车,28,2021,3,2,248卡口
116.01,36.54,微型栏板货车,11,2021,3,2,248卡口
116.01,36.54,重型栏板货车,6,2021,3,2,248卡口
116.01,36.54,中型栏板货车,1,2021,3,2,248卡口
116.01,36.54,大型普通客车,180,2021,3,2,248卡口
116.01,36.54,其它,94,2021,3,2,248卡口
116.01,36.54,微型栏板货车,15,2021,3,2,248卡口
116.01,36.54,小型普通客车,12,2021,3,2,248卡口
116.01,36.54,重型栏板货车,6,2021,3,2,248卡口
116.01,36.54,中型栏板货车,5,2021,3,2,248卡口
116.01,36.54,大型普通客车,499,2021,3,2,248卡口
116.01,36.54,其它,248,2021,3,2,248卡口
116.01,36.54,小型普通客车,37,2021,3,2,248卡口
116.01,36.54,中型栏板货车,2,2021,3,2,248卡口
116.01,36.54,微型栏板货车,1,2021,3,2,248卡口
116.01,36.54,小型汽车,69,2021,3,3,248卡口
116.01,36.54,大型汽车,2,2021,3,3,248卡口
116.01,36.54,小型汽车,37,2021,3,3,248卡口
116.01,36.54,大型汽车,1,2021,3,3,248卡口
116.01,36.54,小型汽车,68,2021,3,3,248卡口
116.01,36.54,大型汽车,2,2021,3,3,248卡口
116.01,36.54,大型普通客车,4,2021,3,3,248卡口
116.01,36.54,其它,3,2021,3,3,248卡口
116.01,36.54,大型普通客车,550,2021,3,3,248卡口
116.01,36.54,其它,269,2021,3,3,248卡口
116.01,36.54,小型普通客车,20,2021,3,3,248卡口
116.01,36.54,重型栏板货车,10,2021,3,3,248卡口
116.01,36.54,微型栏板货车,10,2021,3,3,248卡口
116.01,36.54,中型栏板货车,3,2021,3,3,248卡口
116.01,36.54,大型普通客车,215,2021,3,3,248卡口
116.01,36.54,其它,83,2021,3,3,248卡口
116.01,36.54,小型普通客车,17,2021,3,3,248卡口
116.01,36.54,微型栏板货车,11,2021,3,3,248卡口
116.01,36.54,重型栏板货车,10,2021,3,3,248卡口
116.01,36.54,大型普通客车,492,2021,3,3,248卡口
116.01,36.54,其它,244,2021,3,3,248卡口
116.01,36.54,小型普通客车,29,2021,3,3,248卡口
116.01,36.54,微型栏板货车,4,2021,3,3,248卡口
116.01,36.54,中型栏板货车,2,2021,3,3,248卡口
116.01,36.54,小型汽车,64,2021,3,4,248卡口
116.01,36.54,大型汽车,2,2021,3,4,248卡口
116.01,36.54,其它,5,2021,3,4,248卡口
116.01,36.54,大型普通客车,3,2021,3,4,248卡口
116.01,36.54,大型普通客车,571,2021,3,4,248卡口
116.01,36.54,其它,259,2021,3,4,248卡口
116.01,36.54,小型普通客车,18,2021,3,4,248卡口
116.01,36.54,微型栏板货车,13,2021,3,4,248卡口
116.01,36.54,重型栏板货车,5,2021,3,4,248卡口
116.01,36.54,中型栏板货车,4,2021,3,4,248卡口
116.01,36.54,大型普通客车,137,2021,3,4,248卡口
116.01,36.54,其它,98,2021,3,4,248卡口
116.01,36.54,小型普通客车,16,2021,3,4,248卡口
116.01,36.54,微型栏板货车,15,2021,3,4,248卡口
116.01,36.54,重型栏板货车,5,2021,3,4,248卡口
116.01,36.54,中型栏板货车,2,2021,3,4,248卡口
116.01,36.54,大型普通客车,515,2021,3,4,248卡口
116.01,36.54,其它,229,2021,3,4,248卡口
116.01,36.54,小型普通客车,28,2021,3,4,248卡口
116.01,36.54,微型栏板货车,4,2021,3,4,248卡口
116.01,36.54,中型栏板货车,2,2021,3,4,248卡口
116.01,36.54,重型栏板货车,1,2021,3,4,248卡口
116.01,36.54,小型汽车,42,2021,3,5,248卡口
116.01,36.54,大型汽车,5,2021,3,5,248卡口
116.01,36.54,大型普通客车,4,2021,3,5,248卡口
116.01,36.54,其它,4,2021,3,5,248卡口
116.01,36.54,中型栏板货车,1,2021,3,5,248卡口
116.01,36.54,微型栏板货车,1,2021,3,5,248卡口
