jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.64,36.19,小型汽车,63,2021,3,1,08卡口
115.64,36.19,大型汽车,1,2021,3,1,08卡口
115.64,36.19,小型汽车,52,2021,3,1,08卡口
115.64,36.19,大型汽车,1,2021,3,1,08卡口
115.64,36.19,大型普通客车,4,2021,3,1,08卡口
115.64,36.19,其它,4,2021,3,1,08卡口
115.64,36.19,小型普通客车,1,2021,3,1,08卡口
115.64,36.19,大型普通客车,636,2021,3,1,08卡口
115.64,36.19,其它,247,2021,3,1,08卡口
115.64,36.19,小型普通客车,26,2021,3,1,08卡口
115.64,36.19,微型栏板货车,6,2021,3,1,08卡口
115.64,36.19,重型栏板货车,5,2021,3,1,08卡口
115.64,36.19,大型普通客车,256,2021,3,1,08卡口
115.64,36.19,其它,133,2021,3,1,08卡口
115.64,36.19,小型普通客车,24,2021,3,1,08卡口
115.64,36.19,微型栏板货车,10,2021,3,1,08卡口
115.64,36.19,重型栏板货车,8,2021,3,1,08卡口
115.64,36.19,大型普通客车,430,2021,3,1,08卡口
115.64,36.19,其它,253,2021,3,1,08卡口
115.64,36.19,小型普通客车,23,2021,3,1,08卡口
115.64,36.19,重型栏板货车,5,2021,3,1,08卡口
115.64,36.19,中型栏板货车,2,2021,3,1,08卡口
115.64,36.19,微型栏板货车,2,2021,3,1,08卡口
115.64,36.19,小型汽车,68,2021,3,2,08卡口
115.64,36.19,大型汽车,1,2021,3,2,08卡口
115.64,36.19,小型汽车,51,2021,3,2,08卡口
115.64,36.19,大型汽车,1,2021,3,2,08卡口
115.64,36.19,其它,6,2021,3,2,08卡口
115.64,36.19,中型栏板货车,1,2021,3,2,08卡口
115.64,36.19,大型普通客车,1,2021,3,2,08卡口
115.64,36.19,大型普通客车,545,2021,3,2,08卡口
115.64,36.19,其它,227,2021,3,2,08卡口
115.64,36.19,小型普通客车,23,2021,3,2,08卡口
115.64,36.19,重型栏板货车,3,2021,3,2,08卡口
115.64,36.19,微型栏板货车,3,2021,3,2,08卡口
115.64,36.19,大型普通客车,247,2021,3,2,08卡口
115.64,36.19,其它,116,2021,3,2,08卡口
115.64,36.19,小型普通客车,16,2021,3,2,08卡口
115.64,36.19,微型栏板货车,10,2021,3,2,08卡口
