jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.98,36.91,小型汽车,39,2021,3,1,209卡口
115.98,36.91,大型汽车,2,2021,3,1,209卡口
115.98,36.91,小型汽车,56,2021,3,1,209卡口
115.98,36.91,大型汽车,1,2021,3,1,209卡口
115.98,36.91,小型普通客车,502,2021,3,1,209卡口
115.98,36.91,重型栏板货车,17,2021,3,1,209卡口
115.98,36.91,小型普通客车,365,2021,3,1,209卡口
115.98,36.91,重型栏板货车,22,2021,3,1,209卡口
115.98,36.91,小型普通客车,605,2021,3,1,209卡口
115.98,36.91,重型栏板货车,9,2021,3,1,209卡口
115.98,36.91,普通二轮摩托车,1,2021,3,1,209卡口
115.98,36.91,小型汽车,47,2021,3,2,209卡口
115.98,36.91,大型汽车,1,2021,3,2,209卡口
115.98,36.91,小型汽车,70,2021,3,2,209卡口
115.98,36.91,大型汽车,2,2021,3,2,209卡口
115.98,36.91,小型汽车,82,2021,3,2,209卡口
115.98,36.91,大型汽车,2,2021,3,2,209卡口
115.98,36.91,小型普通客车,461,2021,3,2,209卡口
115.98,36.91,重型栏板货车,19,2021,3,2,209卡口
115.98,36.91,小型普通客车,374,2021,3,2,209卡口
115.98,36.91,重型栏板货车,22,2021,3,2,209卡口
115.98,36.91,小型普通客车,695,2021,3,2,209卡口
115.98,36.91,重型栏板货车,12,2021,3,2,209卡口
115.98,36.91,小型汽车,31,2021,3,3,209卡口
115.98,36.91,大型汽车,3,2021,3,3,209卡口
115.98,36.91,小型汽车,109,2021,3,3,209卡口
115.98,36.91,大型汽车,15,2021,3,3,209卡口
115.98,36.91,小型普通客车,462,2021,3,3,209卡口
115.98,36.91,重型栏板货车,23,2021,3,3,209卡口
115.98,36.91,小型普通客车,620,2021,3,3,209卡口
115.98,36.91,重型栏板货车,41,2021,3,3,209卡口
115.98,36.91,普通二轮摩托车,1,2021,3,3,209卡口
115.98,36.91,小型普通客车,739,2021,3,3,209卡口
115.98,36.91,重型栏板货车,17,2021,3,3,209卡口
115.98,36.91,其它,1,2021,3,3,209卡口
115.98,36.91,小型汽车,38,2021,3,4,209卡口
115.98,36.91,大型汽车,4,2021,3,4,209卡口
115.98,36.91,小型汽车,78,2021,3,4,209卡口
115.98,36.91,大型汽车,2,2021,3,4,209卡口
115.98,36.91,小型汽车,67,2021,3,4,209卡口
115.98,36.91,大型汽车,1,2021,3,4,209卡口
115.98,36.91,小型普通客车,475,2021,3,4,209卡口
115.98,36.91,重型栏板货车,27,2021,3,4,209卡口
115.98,36.91,小型普通客车,394,2021,3,4,209卡口
115.98,36.91,重型栏板货车,30,2021,3,4,209卡口
115.98,36.91,小型普通客车,777,2021,3,4,209卡口
115.98,36.91,重型栏板货车,20,2021,3,4,209卡口
115.98,36.91,小型汽车,65,2021,3,5,209卡口
115.98,36.91,大型汽车,1,2021,3,5,209卡口
115.98,36.91,小型汽车,82,2021,3,5,209卡口
115.98,36.91,大型汽车,3,2021,3,5,209卡口
115.98,36.91,小型普通客车,512,2021,3,5,209卡口
115.98,36.91,重型栏板货车,26,2021,3,5,209卡口
115.98,36.91,小型普通客车,397,2021,3,5,209卡口
115.98,36.91,重型栏板货车,23,2021,3,5,209卡口
115.98,36.91,小型普通客车,726,2021,3,5,209卡口
115.98,36.91,重型栏板货车,18,2021,3,5,209卡口
115.98,36.91,小型汽车,45,2021,3,6,209卡口
115.98,36.91,大型汽车,3,2021,3,6,209卡口
115.98,36.91,小型汽车,75,2021,3,6,209卡口
115.98,36.91,大型汽车,1,2021,3,6,209卡口
115.98,36.91,小型普通客车,416,2021,3,6,209卡口
115.98,36.91,重型栏板货车,22,2021,3,6,209卡口
115.98,36.91,小型普通客车,401,2021,3,6,209卡口
115.98,36.91,重型栏板货车,19,2021,3,6,209卡口
115.98,36.91,小型普通客车,557,2021,3,6,209卡口
115.98,36.91,重型栏板货车,11,2021,3,6,209卡口
115.98,36.91,小型汽车,39,2021,3,7,209卡口
115.98,36.91,大型汽车,3,2021,3,7,209卡口
115.98,36.91,小型汽车,60,2021,3,7,209卡口
115.98,36.91,大型汽车,3,2021,3,7,209卡口
115.98,36.91,小型汽车,69,2021,3,7,209卡口
115.98,36.91,大型汽车,2,2021,3,7,209卡口
115.98,36.91,小型普通客车,389,2021,3,7,209卡口
115.98,36.91,重型栏板货车,25,2021,3,7,209卡口
115.98,36.91,小型普通客车,426,2021,3,7,209卡口
115.98,36.91,重型栏板货车,18,2021,3,7,209卡口
115.98,36.91,小型普通客车,653,2021,3,7,209卡口
115.98,36.91,重型栏板货车,13,2021,3,7,209卡口
115.98,36.91,小型汽车,70,2021,3,8,209卡口
115.98,36.91,大型汽车,2,2021,3,8,209卡口
115.98,36.91,小型汽车,66,2021,3,8,209卡口
115.98,36.91,大型汽车,2,2021,3,8,209卡口
115.98,36.91,小型普通客车,545,2021,3,8,209卡口
115.98,36.91,重型栏板货车,26,2021,3,8,209卡口
115.98,36.91,其它,1,2021,3,8,209卡口
115.98,36.91,小型普通客车,441,2021,3,8,209卡口
115.98,36.91,重型栏板货车,26,2021,3,8,209卡口
115.98,36.91,小型普通客车,705,2021,3,8,209卡口
115.98,36.91,重型栏板货车,16,2021,3,8,209卡口
115.98,36.91,大型汽车,2,2021,3,9,209卡口
