jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.19,36.44,中型轿车,213,2021,3,7,364卡口
116.19,36.44,大型普通客车,1,2021,3,7,364卡口
116.19,36.44,小型汽车,138,2021,3,8,364卡口
116.19,36.44,大型汽车,2,2021,3,8,364卡口
116.19,36.44,小型汽车,127,2021,3,8,364卡口
116.19,36.44,大型汽车,3,2021,3,8,364卡口
116.19,36.44,小型汽车,107,2021,3,8,364卡口
116.19,36.44,大型汽车,5,2021,3,8,364卡口
116.19,36.44,中型轿车,280,2021,3,8,364卡口
116.19,36.44,大型普通客车,20,2021,3,8,364卡口
116.19,36.44,中型轿车,344,2021,3,8,364卡口
116.19,36.44,大型普通客车,15,2021,3,8,364卡口
116.19,36.44,其它,1,2021,3,8,364卡口
116.19,36.44,中型轿车,327,2021,3,8,364卡口
116.19,36.44,大型普通客车,5,2021,3,8,364卡口
116.19,36.44,其它,2,2021,3,8,364卡口
116.19,36.44,小型汽车,147,2021,3,9,364卡口
116.19,36.44,大型汽车,12,2021,3,9,364卡口
116.19,36.44,小型汽车,124,2021,3,9,364卡口
116.19,36.44,大型汽车,3,2021,3,9,364卡口
116.19,36.44,小型汽车,84,2021,3,9,364卡口
116.19,36.44,大型汽车,2,2021,3,9,364卡口
116.19,36.44,中型轿车,377,2021,3,9,364卡口
116.19,36.44,大型普通客车,27,2021,3,9,364卡口
116.19,36.44,中型轿车,383,2021,3,9,364卡口
116.19,36.44,大型普通客车,19,2021,3,9,364卡口
116.19,36.44,其它,1,2021,3,9,364卡口
116.19,36.44,中型轿车,331,2021,3,9,364卡口
116.19,36.44,大型普通客车,4,2021,3,9,364卡口
116.19,36.44,其它,1,2021,3,9,364卡口
116.19,36.44,小型汽车,168,2021,3,10,364卡口
116.19,36.44,大型汽车,6,2021,3,10,364卡口
116.19,36.44,小型汽车,126,2021,3,10,364卡口
116.19,36.44,大型汽车,6,2021,3,10,364卡口
116.19,36.44,小型汽车,116,2021,3,10,364卡口
116.19,36.44,大型汽车,3,2021,3,10,364卡口
116.19,36.44,中型轿车,417,2021,3,10,364卡口
116.19,36.44,大型普通客车,29,2021,3,10,364卡口
116.19,36.44,中型轿车,374,2021,3,10,364卡口
116.19,36.44,大型普通客车,8,2021,3,10,364卡口
116.19,36.44,其它,1,2021,3,10,364卡口
116.19,36.44,中型轿车,364,2021,3,10,364卡口
116.19,36.44,大型普通客车,10,2021,3,10,364卡口
116.19,36.44,其它,1,2021,3,10,364卡口
116.19,36.44,小型汽车,182,2021,3,11,364卡口
116.19,36.44,大型汽车,3,2021,3,11,364卡口
116.19,36.44,小型汽车,129,2021,3,11,364卡口
116.19,36.44,大型汽车,1,2021,3,11,364卡口
116.19,36.44,小型汽车,95,2021,3,11,364卡口
116.19,36.44,大型汽车,3,2021,3,11,364卡口
116.19,36.44,中型轿车,501,2021,3,11,364卡口
116.19,36.44,大型普通客车,9,2021,3,11,364卡口
116.19,36.44,中型轿车,293,2021,3,11,364卡口
116.19,36.44,大型普通客车,8,2021,3,11,364卡口
116.19,36.44,其它,1,2021,3,11,364卡口
116.19,36.44,中型轿车,334,2021,3,11,364卡口
116.19,36.44,大型普通客车,4,2021,3,11,364卡口
116.19,36.44,其它,1,2021,3,11,364卡口
116.19,36.44,小型汽车,161,2021,3,12,364卡口
116.19,36.44,大型汽车,10,2021,3,12,364卡口
116.19,36.44,小型汽车,123,2021,3,12,364卡口
116.19,36.44,大型汽车,3,2021,3,12,364卡口
116.19,36.44,小型汽车,98,2021,3,12,364卡口
116.19,36.44,大型汽车,2,2021,3,12,364卡口
116.19,36.44,中型轿车,416,2021,3,12,364卡口
116.19,36.44,大型普通客车,29,2021,3,12,364卡口
116.19,36.44,中型轿车,443,2021,3,12,364卡口
116.19,36.44,大型普通客车,17,2021,3,12,364卡口
116.19,36.44,中型轿车,394,2021,3,12,364卡口
116.19,36.44,大型普通客车,2,2021,3,12,364卡口
116.19,36.44,小型汽车,159,2021,3,13,364卡口
116.19,36.44,大型汽车,5,2021,3,13,364卡口
