jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.33,36.4,小型汽车,89,2021,3,1,398卡口
116.33,36.4,大型汽车,2,2021,3,1,398卡口
116.33,36.4,小型汽车,79,2021,3,1,398卡口
116.33,36.4,大型汽车,2,2021,3,1,398卡口
116.33,36.4,小型汽车,161,2021,3,1,398卡口
116.33,36.4,大型汽车,2,2021,3,1,398卡口
116.33,36.4,小型普通客车,1147,2021,3,1,398卡口
116.33,36.4,重型栏板货车,56,2021,3,1,398卡口
116.33,36.4,小型普通客车,920,2021,3,1,398卡口
116.33,36.4,重型栏板货车,66,2021,3,1,398卡口
116.33,36.4,小型普通客车,1840,2021,3,1,398卡口
116.33,36.4,重型栏板货车,57,2021,3,1,398卡口
116.33,36.4,小型汽车,72,2021,3,2,398卡口
116.33,36.4,大型汽车,2,2021,3,2,398卡口
116.33,36.4,小型汽车,73,2021,3,2,398卡口
116.33,36.4,大型汽车,5,2021,3,2,398卡口
116.33,36.4,小型汽车,165,2021,3,2,398卡口
116.33,36.4,大型汽车,3,2021,3,2,398卡口
116.33,36.4,小型普通客车,876,2021,3,2,398卡口
116.33,36.4,重型栏板货车,66,2021,3,2,398卡口
116.33,36.4,小型普通客车,896,2021,3,2,398卡口
116.33,36.4,重型栏板货车,67,2021,3,2,398卡口
116.33,36.4,小型普通客车,1798,2021,3,2,398卡口
116.33,36.4,重型栏板货车,55,2021,3,2,398卡口
116.33,36.4,小型汽车,83,2021,3,3,398卡口
116.33,36.4,大型汽车,4,2021,3,3,398卡口
116.33,36.4,小型普通客车,844,2021,3,3,398卡口
116.33,36.4,重型栏板货车,67,2021,3,3,398卡口
116.33,36.4,小型普通客车,830,2021,3,3,398卡口
116.33,36.4,重型栏板货车,70,2021,3,3,398卡口
116.33,36.4,小型普通客车,1825,2021,3,3,398卡口
116.33,36.4,重型栏板货车,38,2021,3,3,398卡口
116.33,36.4,小型汽车,72,2021,3,4,398卡口
116.33,36.4,大型汽车,3,2021,3,4,398卡口
116.33,36.4,小型汽车,101,2021,3,4,398卡口
116.33,36.4,大型汽车,2,2021,3,4,398卡口
116.33,36.4,小型汽车,158,2021,3,4,398卡口
116.33,36.4,大型汽车,2,2021,3,4,398卡口
116.33,36.4,小型普通客车,26,2021,3,4,398卡口
116.33,36.4,重型栏板货车,1,2021,3,4,398卡口
116.33,36.4,小型普通客车,836,2021,3,4,398卡口
116.33,36.4,重型栏板货车,65,2021,3,4,398卡口
116.33,36.4,小型普通客车,899,2021,3,4,398卡口
116.33,36.4,重型栏板货车,69,2021,3,4,398卡口
116.33,36.4,小型普通客车,1739,2021,3,4,398卡口
116.33,36.4,重型栏板货车,54,2021,3,4,398卡口
116.33,36.4,小型汽车,76,2021,3,5,398卡口
116.33,36.4,大型汽车,3,2021,3,5,398卡口
116.33,36.4,小型汽车,188,2021,3,5,398卡口
116.33,36.4,大型汽车,3,2021,3,5,398卡口
116.33,36.4,小型普通客车,808,2021,3,5,398卡口
116.33,36.4,重型栏板货车,69,2021,3,5,398卡口
116.33,36.4,小型普通客车,859,2021,3,5,398卡口
116.33,36.4,重型栏板货车,70,2021,3,5,398卡口
116.33,36.4,小型普通客车,1767,2021,3,5,398卡口
116.33,36.4,重型栏板货车,54,2021,3,5,398卡口
116.33,36.4,小型汽车,63,2021,3,6,398卡口
116.33,36.4,大型汽车,3,2021,3,6,398卡口
116.33,36.4,小型普通客车,667,2021,3,6,398卡口
116.33,36.4,重型栏板货车,62,2021,3,6,398卡口
116.33,36.4,小型普通客车,915,2021,3,6,398卡口
116.33,36.4,重型栏板货车,71,2021,3,6,398卡口
116.33,36.4,小型普通客车,1523,2021,3,6,398卡口
116.33,36.4,重型栏板货车,50,2021,3,6,398卡口
116.33,36.4,小型汽车,2,2021,3,7,398卡口
116.33,36.4,大型汽车,1,2021,3,7,398卡口
116.33,36.4,小型汽车,52,2021,3,7,398卡口
116.33,36.4,大型汽车,2,2021,3,7,398卡口
116.33,36.4,小型汽车,68,2021,3,7,398卡口
116.33,36.4,大型汽车,1,2021,3,7,398卡口
116.33,36.4,小型汽车,121,2021,3,7,398卡口
116.33,36.4,大型汽车,2,2021,3,7,398卡口
116.33,36.4,小型普通客车,31,2021,3,7,398卡口
116.33,36.4,重型栏板货车,1,2021,3,7,398卡口
116.33,36.4,小型普通客车,604,2021,3,7,398卡口
116.33,36.4,重型栏板货车,67,2021,3,7,398卡口
116.33,36.4,小型普通客车,872,2021,3,7,398卡口
116.33,36.4,重型栏板货车,68,2021,3,7,398卡口
116.33,36.4,小型普通客车,1275,2021,3,7,398卡口
116.33,36.4,重型栏板货车,48,2021,3,7,398卡口
116.33,36.4,小型汽车,79,2021,3,8,398卡口
116.33,36.4,大型汽车,2,2021,3,8,398卡口
116.33,36.4,小型汽车,113,2021,3,8,398卡口
116.33,36.4,大型汽车,3,2021,3,8,398卡口
116.33,36.4,小型普通客车,16,2021,3,8,398卡口
116.33,36.4,重型栏板货车,1,2021,3,8,398卡口
116.33,36.4,小型普通客车,884,2021,3,8,398卡口
116.33,36.4,重型栏板货车,65,2021,3,8,398卡口
116.33,36.4,小型普通客车,952,2021,3,8,398卡口
116.33,36.4,重型栏板货车,71,2021,3,8,398卡口
116.33,36.4,小型普通客车,1634,2021,3,8,398卡口
116.33,36.4,重型栏板货车,56,2021,3,8,398卡口
116.33,36.4,大型汽车,1,2021,3,9,398卡口
116.33,36.4,小型汽车,1,2021,3,9,398卡口
116.33,36.4,小型汽车,70,2021,3,9,398卡口
116.33,36.4,大型汽车,2,2021,3,9,398卡口
116.33,36.4,小型普通客车,831,2021,3,9,398卡口
116.33,36.4,重型栏板货车,67,2021,3,9,398卡口
116.33,36.4,小型普通客车,708,2021,3,9,398卡口
116.33,36.4,重型栏板货车,66,2021,3,9,398卡口
116.33,36.4,小型普通客车,1650,2021,3,9,398卡口
116.33,36.4,重型栏板货车,56,2021,3,9,398卡口
116.33,36.4,小型汽车,2,2021,3,10,398卡口
116.33,36.4,大型汽车,1,2021,3,10,398卡口
116.33,36.4,小型汽车,66,2021,3,10,398卡口
116.33,36.4,大型汽车,1,2021,3,10,398卡口
116.33,36.4,小型汽车,83,2021,3,10,398卡口
116.33,36.4,大型汽车,2,2021,3,10,398卡口
116.33,36.4,小型汽车,171,2021,3,10,398卡口
116.33,36.4,大型汽车,3,2021,3,10,398卡口
116.33,36.4,小型普通客车,21,2021,3,10,398卡口
116.33,36.4,重型栏板货车,1,2021,3,10,398卡口
116.33,36.4,小型普通客车,802,2021,3,10,398卡口
116.33,36.4,重型栏板货车,64,2021,3,10,398卡口
116.33,36.4,小型普通客车,891,2021,3,10,398卡口
116.33,36.4,重型栏板货车,73,2021,3,10,398卡口
116.33,36.4,小型普通客车,1695,2021,3,10,398卡口
116.33,36.4,重型栏板货车,53,2021,3,10,398卡口
116.33,36.4,小型汽车,90,2021,3,11,398卡口
116.33,36.4,大型汽车,2,2021,3,11,398卡口
116.33,36.4,小型汽车,138,2021,3,11,398卡口
116.33,36.4,大型汽车,3,2021,3,11,398卡口
116.33,36.4,小型普通客车,831,2021,3,11,398卡口
116.33,36.4,重型栏板货车,65,2021,3,11,398卡口
116.33,36.4,小型普通客车,873,2021,3,11,398卡口
116.33,36.4,重型栏板货车,69,2021,3,11,398卡口
116.33,36.4,小型普通客车,1755,2021,3,11,398卡口
116.33,36.4,重型栏板货车,49,2021,3,11,398卡口
116.33,36.4,小型汽车,80,2021,3,12,398卡口
