jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.77,36.43,小型汽车,38,2021,3,1,41卡口
115.77,36.43,大型汽车,2,2021,3,1,41卡口
115.77,36.43,小型汽车,61,2021,3,1,41卡口
115.77,36.43,大型汽车,3,2021,3,1,41卡口
115.77,36.43,小型普通客车,468,2021,3,1,41卡口
115.77,36.43,重型栏板货车,2,2021,3,1,41卡口
115.77,36.43,小型普通客车,339,2021,3,1,41卡口
115.77,36.43,重型栏板货车,1,2021,3,1,41卡口
115.77,36.43,小型普通客车,652,2021,3,1,41卡口
115.77,36.43,重型栏板货车,3,2021,3,1,41卡口
115.77,36.43,小型汽车,2,2021,3,2,41卡口
115.77,36.43,大型汽车,1,2021,3,2,41卡口
115.77,36.43,小型汽车,36,2021,3,2,41卡口
115.77,36.43,大型汽车,3,2021,3,2,41卡口
115.77,36.43,小型汽车,49,2021,3,2,41卡口
115.77,36.43,大型汽车,1,2021,3,2,41卡口
115.77,36.43,小型汽车,47,2021,3,2,41卡口
115.77,36.43,大型汽车,2,2021,3,2,41卡口
115.77,36.43,小型普通客车,368,2021,3,2,41卡口
115.77,36.43,重型栏板货车,2,2021,3,2,41卡口
115.77,36.43,小型普通客车,640,2021,3,2,41卡口
115.77,36.43,重型栏板货车,4,2021,3,2,41卡口
115.77,36.43,小型汽车,33,2021,3,3,41卡口
115.77,36.43,大型汽车,5,2021,3,3,41卡口
115.77,36.43,小型汽车,35,2021,3,3,41卡口
115.77,36.43,大型汽车,1,2021,3,3,41卡口
115.77,36.43,小型汽车,53,2021,3,3,41卡口
115.77,36.43,大型汽车,3,2021,3,3,41卡口
115.77,36.43,小型普通客车,362,2021,3,3,41卡口
115.77,36.43,重型栏板货车,1,2021,3,3,41卡口
115.77,36.43,小型普通客车,290,2021,3,3,41卡口
115.77,36.43,重型栏板货车,4,2021,3,3,41卡口
115.77,36.43,小型普通客车,506,2021,3,3,41卡口
115.77,36.43,重型栏板货车,2,2021,3,3,41卡口
115.77,36.43,其它,1,2021,3,3,41卡口
115.77,36.43,小型汽车,33,2021,3,4,41卡口
115.77,36.43,大型汽车,3,2021,3,4,41卡口
115.77,36.43,小型汽车,26,2021,3,4,41卡口
115.77,36.43,大型汽车,1,2021,3,4,41卡口
115.77,36.43,小型汽车,54,2021,3,4,41卡口
115.77,36.43,大型汽车,6,2021,3,4,41卡口
115.77,36.43,小型普通客车,6,2021,3,4,41卡口
115.77,36.43,重型栏板货车,1,2021,3,4,41卡口
115.77,36.43,小型普通客车,369,2021,3,4,41卡口
115.77,36.43,重型栏板货车,1,2021,3,4,41卡口
115.77,36.43,小型普通客车,319,2021,3,4,41卡口
115.77,36.43,重型栏板货车,2,2021,3,4,41卡口
115.77,36.43,小型普通客车,559,2021,3,4,41卡口
115.77,36.43,重型栏板货车,5,2021,3,4,41卡口
115.77,36.43,小型汽车,28,2021,3,5,41卡口
115.77,36.43,大型汽车,3,2021,3,5,41卡口
115.77,36.43,小型汽车,40,2021,3,5,41卡口
115.77,36.43,大型汽车,1,2021,3,5,41卡口
115.77,36.43,小型汽车,44,2021,3,5,41卡口
115.77,36.43,大型汽车,2,2021,3,5,41卡口
115.77,36.43,小型普通客车,11,2021,3,5,41卡口
115.77,36.43,重型栏板货车,1,2021,3,5,41卡口
115.77,36.43,小型普通客车,325,2021,3,5,41卡口
115.77,36.43,重型栏板货车,3,2021,3,5,41卡口
115.77,36.43,小型普通客车,527,2021,3,5,41卡口
115.77,36.43,重型栏板货车,4,2021,3,5,41卡口
115.77,36.43,小型汽车,3,2021,3,6,41卡口
115.77,36.43,大型汽车,2,2021,3,6,41卡口
115.77,36.43,小型汽车,60,2021,3,6,41卡口
115.77,36.43,大型汽车,3,2021,3,6,41卡口
115.77,36.43,小型普通客车,243,2021,3,6,41卡口
115.77,36.43,重型栏板货车,2,2021,3,6,41卡口
115.77,36.43,小型普通客车,631,2021,3,6,41卡口
115.77,36.43,重型栏板货车,1,2021,3,6,41卡口
115.77,36.43,微型栏板货车,1,2021,3,6,41卡口
115.77,36.43,大型汽车,2,2021,3,7,41卡口
115.77,36.43,小型汽车,1,2021,3,7,41卡口
115.77,36.43,小型汽车,24,2021,3,7,41卡口
115.77,36.43,大型汽车,1,2021,3,7,41卡口
115.77,36.43,小型汽车,53,2021,3,7,41卡口
115.77,36.43,大型汽车,5,2021,3,7,41卡口
115.77,36.43,小型普通客车,10,2021,3,7,41卡口
115.77,36.43,重型栏板货车,3,2021,3,7,41卡口
115.77,36.43,小型普通客车,242,2021,3,7,41卡口
115.77,36.43,重型栏板货车,1,2021,3,7,41卡口
115.77,36.43,普通二轮摩托车,1,2021,3,7,41卡口
115.77,36.43,小型普通客车,326,2021,3,7,41卡口
115.77,36.43,重型栏板货车,3,2021,3,7,41卡口
115.77,36.43,小型普通客车,541,2021,3,7,41卡口
115.77,36.43,重型栏板货车,3,2021,3,7,41卡口
115.77,36.43,普通二轮摩托车,1,2021,3,7,41卡口
115.77,36.43,小型汽车,66,2021,3,8,41卡口
115.77,36.43,大型汽车,4,2021,3,8,41卡口
115.77,36.43,小型普通客车,343,2021,3,8,41卡口
115.77,36.43,重型栏板货车,4,2021,3,8,41卡口
115.77,36.43,普通二轮摩托车,1,2021,3,8,41卡口
115.77,36.43,小型普通客车,348,2021,3,8,41卡口
115.77,36.43,重型栏板货车,3,2021,3,8,41卡口
115.77,36.43,小型普通客车,617,2021,3,8,41卡口
