jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.18,36.59,小型汽车,24,2021,3,1,359卡口
116.18,36.59,大型汽车,7,2021,3,1,359卡口
116.18,36.59,小型汽车,28,2021,3,1,359卡口
116.18,36.59,大型汽车,5,2021,3,1,359卡口
116.18,36.59,小型汽车,67,2021,3,1,359卡口
116.18,36.59,大型汽车,7,2021,3,1,359卡口
116.18,36.59,小型普通客车,399,2021,3,1,359卡口
116.18,36.59,重型栏板货车,37,2021,3,1,359卡口
116.18,36.59,小型普通客车,294,2021,3,1,359卡口
116.18,36.59,重型栏板货车,32,2021,3,1,359卡口
116.18,36.59,小型普通客车,739,2021,3,1,359卡口
116.18,36.59,重型栏板货车,18,2021,3,1,359卡口
116.18,36.59,大型汽车,3,2021,3,2,359卡口
116.18,36.59,小型汽车,1,2021,3,2,359卡口
116.18,36.59,小型汽车,37,2021,3,2,359卡口
116.18,36.59,大型汽车,4,2021,3,2,359卡口
116.18,36.59,小型汽车,36,2021,3,2,359卡口
116.18,36.59,大型汽车,4,2021,3,2,359卡口
116.18,36.59,小型汽车,69,2021,3,2,359卡口
116.18,36.59,大型汽车,3,2021,3,2,359卡口
116.18,36.59,小型普通客车,352,2021,3,2,359卡口
116.18,36.59,重型栏板货车,36,2021,3,2,359卡口
116.18,36.59,小型普通客车,314,2021,3,2,359卡口
116.18,36.59,重型栏板货车,25,2021,3,2,359卡口
116.18,36.59,小型普通客车,776,2021,3,2,359卡口
116.18,36.59,重型栏板货车,20,2021,3,2,359卡口
116.18,36.59,小型汽车,28,2021,3,3,359卡口
116.18,36.59,大型汽车,6,2021,3,3,359卡口
116.18,36.59,小型汽车,32,2021,3,3,359卡口
116.18,36.59,大型汽车,6,2021,3,3,359卡口
116.18,36.59,小型汽车,77,2021,3,3,359卡口
116.18,36.59,大型汽车,9,2021,3,3,359卡口
116.18,36.59,小型普通客车,15,2021,3,3,359卡口
116.18,36.59,重型栏板货车,1,2021,3,3,359卡口
116.18,36.59,小型普通客车,367,2021,3,3,359卡口
116.18,36.59,重型栏板货车,33,2021,3,3,359卡口
116.18,36.59,小型普通客车,300,2021,3,3,359卡口
116.18,36.59,重型栏板货车,24,2021,3,3,359卡口
116.18,36.59,小型普通客车,784,2021,3,3,359卡口
116.18,36.59,重型栏板货车,19,2021,3,3,359卡口
116.18,36.59,小型汽车,36,2021,3,4,359卡口
116.18,36.59,大型汽车,8,2021,3,4,359卡口
116.18,36.59,小型汽车,25,2021,3,4,359卡口
116.18,36.59,大型汽车,8,2021,3,4,359卡口
116.18,36.59,小型汽车,57,2021,3,4,359卡口
116.18,36.59,大型汽车,4,2021,3,4,359卡口
116.18,36.59,小型普通客车,332,2021,3,4,359卡口
116.18,36.59,重型栏板货车,35,2021,3,4,359卡口
116.18,36.59,小型普通客车,304,2021,3,4,359卡口
116.18,36.59,重型栏板货车,28,2021,3,4,359卡口
116.18,36.59,小型普通客车,745,2021,3,4,359卡口
116.18,36.59,重型栏板货车,15,2021,3,4,359卡口
116.18,36.59,大型汽车,1,2021,3,5,359卡口
116.18,36.59,小型汽车,1,2021,3,5,359卡口
116.18,36.59,小型汽车,32,2021,3,5,359卡口
116.18,36.59,大型汽车,6,2021,3,5,359卡口
116.18,36.59,小型汽车,32,2021,3,5,359卡口
116.18,36.59,大型汽车,3,2021,3,5,359卡口
116.18,36.59,小型汽车,63,2021,3,5,359卡口
116.18,36.59,大型汽车,2,2021,3,5,359卡口
116.18,36.59,小型普通客车,23,2021,3,5,359卡口
116.18,36.59,重型栏板货车,1,2021,3,5,359卡口
116.18,36.59,小型普通客车,344,2021,3,5,359卡口
116.18,36.59,重型栏板货车,35,2021,3,5,359卡口
116.18,36.59,小型普通客车,300,2021,3,5,359卡口
116.18,36.59,重型栏板货车,33,2021,3,5,359卡口
116.18,36.59,小型普通客车,728,2021,3,5,359卡口
116.18,36.59,重型栏板货车,18,2021,3,5,359卡口
116.18,36.59,大型汽车,4,2021,3,6,359卡口
116.18,36.59,小型汽车,2,2021,3,6,359卡口
116.18,36.59,小型汽车,30,2021,3,6,359卡口
116.18,36.59,大型汽车,5,2021,3,6,359卡口
116.18,36.59,小型汽车,34,2021,3,6,359卡口
116.18,36.59,大型汽车,3,2021,3,6,359卡口
116.18,36.59,小型汽车,53,2021,3,6,359卡口
116.18,36.59,大型汽车,3,2021,3,6,359卡口
116.18,36.59,小型普通客车,246,2021,3,6,359卡口
116.18,36.59,重型栏板货车,32,2021,3,6,359卡口
116.18,36.59,小型普通客车,322,2021,3,6,359卡口
116.18,36.59,重型栏板货车,33,2021,3,6,359卡口
116.18,36.59,小型普通客车,623,2021,3,6,359卡口
116.18,36.59,重型栏板货车,18,2021,3,6,359卡口
116.18,36.59,小型汽车,2,2021,3,7,359卡口
116.18,36.59,大型汽车,1,2021,3,7,359卡口
116.18,36.59,小型汽车,33,2021,3,7,359卡口
116.18,36.59,大型汽车,7,2021,3,7,359卡口
116.18,36.59,小型汽车,29,2021,3,7,359卡口
116.18,36.59,大型汽车,8,2021,3,7,359卡口
116.18,36.59,小型汽车,59,2021,3,7,359卡口
