jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.71,36.41,小型汽车,17,2021,3,1,21卡口
115.71,36.41,大型汽车,7,2021,3,1,21卡口
115.71,36.41,大型汽车,16,2021,3,1,21卡口
115.71,36.41,小型汽车,14,2021,3,1,21卡口
115.71,36.41,小型汽车,34,2021,3,1,21卡口
115.71,36.41,大型汽车,16,2021,3,1,21卡口
115.71,36.41,小型普通客车,162,2021,3,1,21卡口
115.71,36.41,重型栏板货车,13,2021,3,1,21卡口
115.71,36.41,小型普通客车,114,2021,3,1,21卡口
115.71,36.41,重型栏板货车,54,2021,3,1,21卡口
115.71,36.41,其它,1,2021,3,1,21卡口
115.71,36.41,小型普通客车,275,2021,3,1,21卡口
115.71,36.41,重型栏板货车,36,2021,3,1,21卡口
115.71,36.41,微型栏板货车,10,2021,3,1,21卡口
115.71,36.41,其它,2,2021,3,1,21卡口
115.71,36.41,大型汽车,1,2021,3,2,21卡口
115.71,36.41,小型汽车,1,2021,3,2,21卡口
115.71,36.41,小型汽车,12,2021,3,2,21卡口
115.71,36.41,大型汽车,8,2021,3,2,21卡口
115.71,36.41,大型汽车,15,2021,3,2,21卡口
115.71,36.41,小型汽车,15,2021,3,2,21卡口
115.71,36.41,小型汽车,28,2021,3,2,21卡口
115.71,36.41,大型汽车,12,2021,3,2,21卡口
115.71,36.41,重型栏板货车,1,2021,3,2,21卡口
115.71,36.41,小型普通客车,1,2021,3,2,21卡口
115.71,36.41,小型普通客车,123,2021,3,2,21卡口
115.71,36.41,重型栏板货车,20,2021,3,2,21卡口
115.71,36.41,小型普通客车,125,2021,3,2,21卡口
115.71,36.41,重型栏板货车,57,2021,3,2,21卡口
115.71,36.41,小型普通客车,282,2021,3,2,21卡口
115.71,36.41,重型栏板货车,65,2021,3,2,21卡口
115.71,36.41,微型栏板货车,8,2021,3,2,21卡口
115.71,36.41,其它,3,2021,3,2,21卡口
115.71,36.41,普通二轮摩托车,1,2021,3,2,21卡口
115.71,36.41,小型汽车,15,2021,3,3,21卡口
115.71,36.41,大型汽车,10,2021,3,3,21卡口
