jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.87,36.78,小型汽车,58,2021,3,1,96卡口
115.87,36.78,大型汽车,2,2021,3,1,96卡口
115.87,36.78,小型汽车,82,2021,3,1,96卡口
115.87,36.78,大型汽车,2,2021,3,1,96卡口
115.87,36.78,小型汽车,68,2021,3,1,96卡口
115.87,36.78,大型汽车,1,2021,3,1,96卡口
115.87,36.78,小型普通客车,537,2021,3,1,96卡口
115.87,36.78,重型栏板货车,2,2021,3,1,96卡口
115.87,36.78,小型普通客车,390,2021,3,1,96卡口
115.87,36.78,重型栏板货车,5,2021,3,1,96卡口
115.87,36.78,小型普通客车,778,2021,3,1,96卡口
115.87,36.78,重型栏板货车,1,2021,3,1,96卡口
115.87,36.78,小型汽车,51,2021,3,2,96卡口
115.87,36.78,大型汽车,3,2021,3,2,96卡口
115.87,36.78,小型汽车,76,2021,3,2,96卡口
115.87,36.78,大型汽车,3,2021,3,2,96卡口
115.87,36.78,小型汽车,92,2021,3,2,96卡口
115.87,36.78,大型汽车,1,2021,3,2,96卡口
115.87,36.78,小型普通客车,388,2021,3,2,96卡口
115.87,36.78,重型栏板货车,4,2021,3,2,96卡口
115.87,36.78,小型普通客车,845,2021,3,2,96卡口
115.87,36.78,重型栏板货车,2,2021,3,2,96卡口
115.87,36.78,小型汽车,49,2021,3,3,96卡口
115.87,36.78,大型汽车,3,2021,3,3,96卡口
115.87,36.78,小型汽车,77,2021,3,3,96卡口
115.87,36.78,大型汽车,3,2021,3,3,96卡口
115.87,36.78,小型汽车,81,2021,3,3,96卡口
115.87,36.78,大型汽车,2,2021,3,3,96卡口
115.87,36.78,小型普通客车,542,2021,3,3,96卡口
115.87,36.78,重型栏板货车,5,2021,3,3,96卡口
115.87,36.78,小型普通客车,418,2021,3,3,96卡口
115.87,36.78,重型栏板货车,7,2021,3,3,96卡口
115.87,36.78,小型普通客车,906,2021,3,3,96卡口
115.87,36.78,重型栏板货车,2,2021,3,3,96卡口
115.87,36.78,大型汽车,2,2021,3,4,96卡口
115.87,36.78,小型汽车,2,2021,3,4,96卡口
115.87,36.78,小型汽车,44,2021,3,4,96卡口
115.87,36.78,大型汽车,3,2021,3,4,96卡口
115.87,36.78,小型汽车,89,2021,3,4,96卡口
115.87,36.78,大型汽车,3,2021,3,4,96卡口
115.87,36.78,小型汽车,76,2021,3,4,96卡口
115.87,36.78,大型汽车,2,2021,3,4,96卡口
115.87,36.78,小型普通客车,546,2021,3,4,96卡口
115.87,36.78,重型栏板货车,5,2021,3,4,96卡口
115.87,36.78,小型普通客车,383,2021,3,4,96卡口
115.87,36.78,重型栏板货车,2,2021,3,4,96卡口
115.87,36.78,小型普通客车,891,2021,3,4,96卡口
115.87,36.78,重型栏板货车,2,2021,3,4,96卡口
115.87,36.78,大型汽车,2,2021,3,5,96卡口
115.87,36.78,小型汽车,2,2021,3,5,96卡口
115.87,36.78,小型汽车,55,2021,3,5,96卡口
115.87,36.78,大型汽车,1,2021,3,5,96卡口
115.87,36.78,小型汽车,64,2021,3,5,96卡口
