jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.99,36.35,大型汽车,8,2021,3,1,214卡口
115.99,36.35,小型汽车,8,2021,3,1,214卡口
115.99,36.35,小型汽车,84,2021,3,1,214卡口
115.99,36.35,大型汽车,20,2021,3,1,214卡口
115.99,36.35,小型汽车,143,2021,3,1,214卡口
115.99,36.35,大型汽车,21,2021,3,1,214卡口
115.99,36.35,小型汽车,104,2021,3,1,214卡口
115.99,36.35,大型汽车,24,2021,3,1,214卡口
115.99,36.35,小型普通客车,58,2021,3,1,214卡口
115.99,36.35,重型栏板货车,6,2021,3,1,214卡口
115.99,36.35,小型普通客车,964,2021,3,1,214卡口
115.99,36.35,重型栏板货车,43,2021,3,1,214卡口
115.99,36.35,其它,1,2021,3,1,214卡口
115.99,36.35,小型普通客车,642,2021,3,1,214卡口
115.99,36.35,重型栏板货车,61,2021,3,1,214卡口
115.99,36.35,小型普通客车,806,2021,3,1,214卡口
115.99,36.35,重型栏板货车,74,2021,3,1,214卡口
115.99,36.35,小型汽车,20,2021,3,2,214卡口
115.99,36.35,大型汽车,11,2021,3,2,214卡口
115.99,36.35,小型汽车,122,2021,3,2,214卡口
115.99,36.35,大型汽车,18,2021,3,2,214卡口
115.99,36.35,小型汽车,175,2021,3,2,214卡口
115.99,36.35,大型汽车,19,2021,3,2,214卡口
115.99,36.35,小型汽车,109,2021,3,2,214卡口
115.99,36.35,大型汽车,18,2021,3,2,214卡口
115.99,36.35,小型普通客车,47,2021,3,2,214卡口
115.99,36.35,重型栏板货车,14,2021,3,2,214卡口
115.99,36.35,小型普通客车,974,2021,3,2,214卡口
115.99,36.35,重型栏板货车,70,2021,3,2,214卡口
115.99,36.35,其它,2,2021,3,2,214卡口
115.99,36.35,小型普通客车,697,2021,3,2,214卡口
115.99,36.35,重型栏板货车,68,2021,3,2,214卡口
115.99,36.35,其它,9,2021,3,2,214卡口
115.99,36.35,小型普通客车,1089,2021,3,2,214卡口
115.99,36.35,重型栏板货车,83,2021,3,2,214卡口
115.99,36.35,大型汽车,17,2021,3,3,214卡口
115.99,36.35,小型汽车,17,2021,3,3,214卡口
115.99,36.35,小型汽车,79,2021,3,3,214卡口
115.99,36.35,大型汽车,11,2021,3,3,214卡口
115.99,36.35,小型汽车,174,2021,3,3,214卡口
115.99,36.35,大型汽车,41,2021,3,3,214卡口
115.99,36.35,小型汽车,101,2021,3,3,214卡口
115.99,36.35,大型汽车,30,2021,3,3,214卡口
115.99,36.35,小型普通客车,59,2021,3,3,214卡口
115.99,36.35,重型栏板货车,28,2021,3,3,214卡口
115.99,36.35,小型普通客车,784,2021,3,3,214卡口
115.99,36.35,重型栏板货车,30,2021,3,3,214卡口
115.99,36.35,其它,8,2021,3,3,214卡口
115.99,36.35,小型普通客车,680,2021,3,3,214卡口
115.99,36.35,重型栏板货车,57,2021,3,3,214卡口
115.99,36.35,其它,10,2021,3,3,214卡口
115.99,36.35,小型普通客车,1048,2021,3,3,214卡口
