jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.57,36.26,小型汽车,46,2021,3,1,01卡口
115.57,36.26,大型汽车,1,2021,3,1,01卡口
115.57,36.26,小型汽车,79,2021,3,1,01卡口
115.57,36.26,大型汽车,2,2021,3,1,01卡口
115.57,36.26,小型普通客车,728,2021,3,1,01卡口
115.57,36.26,重型栏板货车,3,2021,3,1,01卡口
115.57,36.26,小型普通客车,572,2021,3,1,01卡口
115.57,36.26,重型栏板货车,2,2021,3,1,01卡口
115.57,36.26,小型普通客车,715,2021,3,1,01卡口
115.57,36.26,重型栏板货车,4,2021,3,1,01卡口
115.57,36.26,小型汽车,56,2021,3,2,01卡口
115.57,36.26,大型汽车,2,2021,3,2,01卡口
115.57,36.26,小型普通客车,732,2021,3,2,01卡口
115.57,36.26,重型栏板货车,2,2021,3,2,01卡口
115.57,36.26,小型普通客车,548,2021,3,2,01卡口
115.57,36.26,重型栏板货车,2,2021,3,2,01卡口
115.57,36.26,小型普通客车,740,2021,3,2,01卡口
115.57,36.26,重型栏板货车,4,2021,3,2,01卡口
115.57,36.26,大型汽车,1,2021,3,3,01卡口
115.57,36.26,小型汽车,1,2021,3,3,01卡口
115.57,36.26,小型汽车,49,2021,3,3,01卡口
115.57,36.26,大型汽车,1,2021,3,3,01卡口
115.57,36.26,小型汽车,57,2021,3,3,01卡口
115.57,36.26,大型汽车,2,2021,3,3,01卡口
115.57,36.26,小型普通客车,707,2021,3,3,01卡口
115.57,36.26,重型栏板货车,3,2021,3,3,01卡口
115.57,36.26,小型普通客车,534,2021,3,3,01卡口
115.57,36.26,重型栏板货车,2,2021,3,3,01卡口
115.57,36.26,小型普通客车,665,2021,3,3,01卡口
115.57,36.26,重型栏板货车,7,2021,3,3,01卡口
115.57,36.26,小型汽车,57,2021,3,4,01卡口
115.57,36.26,大型汽车,2,2021,3,4,01卡口
115.57,36.26,小型汽车,55,2021,3,4,01卡口
115.57,36.26,大型汽车,1,2021,3,4,01卡口
115.57,36.26,小型汽车,74,2021,3,4,01卡口
115.57,36.26,大型汽车,1,2021,3,4,01卡口
115.57,36.26,小型普通客车,702,2021,3,4,01卡口
115.57,36.26,重型栏板货车,6,2021,3,4,01卡口
115.57,36.26,小型普通客车,547,2021,3,4,01卡口
115.57,36.26,重型栏板货车,1,2021,3,4,01卡口
115.57,36.26,小型普通客车,680,2021,3,4,01卡口
115.57,36.26,重型栏板货车,5,2021,3,4,01卡口
115.57,36.26,小型汽车,54,2021,3,5,01卡口
115.57,36.26,大型汽车,1,2021,3,5,01卡口
115.57,36.26,小型普通客车,764,2021,3,5,01卡口
115.57,36.26,重型栏板货车,4,2021,3,5,01卡口
115.57,36.26,小型普通客车,501,2021,3,5,01卡口
115.57,36.26,重型栏板货车,4,2021,3,5,01卡口
115.57,36.26,小型普通客车,658,2021,3,5,01卡口
115.57,36.26,重型栏板货车,5,2021,3,5,01卡口
115.57,36.26,小型普通客车,608,2021,3,6,01卡口
115.57,36.26,重型栏板货车,3,2021,3,6,01卡口
115.57,36.26,小型普通客车,733,2021,3,6,01卡口
115.57,36.26,重型栏板货车,2,2021,3,6,01卡口
115.57,36.26,小型汽车,39,2021,3,7,01卡口
