jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.75,36.33,小型汽车,5,2021,3,1,32卡口
115.75,36.33,大型汽车,4,2021,3,1,32卡口
115.75,36.33,小型汽车,32,2021,3,1,32卡口
115.75,36.33,大型汽车,11,2021,3,1,32卡口
115.75,36.33,小型汽车,63,2021,3,1,32卡口
115.75,36.33,大型汽车,20,2021,3,1,32卡口
115.75,36.33,小型汽车,34,2021,3,1,32卡口
115.75,36.33,大型汽车,12,2021,3,1,32卡口
115.75,36.33,小型普通客车,10,2021,3,1,32卡口
115.75,36.33,重型栏板货车,4,2021,3,1,32卡口
115.75,36.33,普通二轮摩托车,1,2021,3,1,32卡口
115.75,36.33,小型普通客车,217,2021,3,1,32卡口
115.75,36.33,重型栏板货车,15,2021,3,1,32卡口
115.75,36.33,小型普通客车,246,2021,3,1,32卡口
115.75,36.33,重型栏板货车,52,2021,3,1,32卡口
115.75,36.33,小型普通客车,370,2021,3,1,32卡口
115.75,36.33,重型栏板货车,48,2021,3,1,32卡口
115.75,36.33,普通二轮摩托车,10,2021,3,1,32卡口
115.75,36.33,微型栏板货车,2,2021,3,1,32卡口
115.75,36.33,大型汽车,12,2021,3,2,32卡口
115.75,36.33,小型汽车,5,2021,3,2,32卡口
115.75,36.33,小型汽车,32,2021,3,2,32卡口
115.75,36.33,大型汽车,12,2021,3,2,32卡口
115.75,36.33,小型汽车,57,2021,3,2,32卡口
115.75,36.33,大型汽车,22,2021,3,2,32卡口
115.75,36.33,小型汽车,39,2021,3,2,32卡口
115.75,36.33,大型汽车,17,2021,3,2,32卡口
115.75,36.33,重型栏板货车,8,2021,3,2,32卡口
115.75,36.33,小型普通客车,5,2021,3,2,32卡口
115.75,36.33,普通二轮摩托车,2,2021,3,2,32卡口
115.75,36.33,小型普通客车,199,2021,3,2,32卡口
115.75,36.33,重型栏板货车,25,2021,3,2,32卡口
115.75,36.33,小型普通客车,235,2021,3,2,32卡口
115.75,36.33,重型栏板货车,74,2021,3,2,32卡口
115.75,36.33,小型普通客车,379,2021,3,2,32卡口
115.75,36.33,重型栏板货车,49,2021,3,2,32卡口
115.75,36.33,普通二轮摩托车,9,2021,3,2,32卡口
115.75,36.33,微型栏板货车,1,2021,3,2,32卡口
115.75,36.33,大型汽车,15,2021,3,3,32卡口
115.75,36.33,小型汽车,10,2021,3,3,32卡口
115.75,36.33,小型汽车,33,2021,3,3,32卡口
