jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.78,36.43,大型汽车,25,2021,3,1,48卡口
115.78,36.43,小型汽车,5,2021,3,1,48卡口
115.78,36.43,小型汽车,58,2021,3,1,48卡口
115.78,36.43,大型汽车,23,2021,3,1,48卡口
115.78,36.43,小型汽车,57,2021,3,1,48卡口
115.78,36.43,大型汽车,24,2021,3,1,48卡口
115.78,36.43,小型汽车,47,2021,3,1,48卡口
115.78,36.43,大型汽车,29,2021,3,1,48卡口
115.78,36.43,重型栏板货车,19,2021,3,1,48卡口
115.78,36.43,小型普通客车,9,2021,3,1,48卡口
115.78,36.43,小型普通客车,575,2021,3,1,48卡口
115.78,36.43,重型栏板货车,73,2021,3,1,48卡口
115.78,36.43,小型普通客车,225,2021,3,1,48卡口
115.78,36.43,重型栏板货车,78,2021,3,1,48卡口
115.78,36.43,小型普通客车,338,2021,3,1,48卡口
115.78,36.43,重型栏板货车,87,2021,3,1,48卡口
115.78,36.43,普通二轮摩托车,1,2021,3,1,48卡口
115.78,36.43,其它,1,2021,3,1,48卡口
115.78,36.43,大型汽车,17,2021,3,2,48卡口
115.78,36.43,小型汽车,5,2021,3,2,48卡口
115.78,36.43,小型汽车,57,2021,3,2,48卡口
115.78,36.43,大型汽车,22,2021,3,2,48卡口
115.78,36.43,小型汽车,55,2021,3,2,48卡口
115.78,36.43,大型汽车,33,2021,3,2,48卡口
115.78,36.43,小型汽车,62,2021,3,2,48卡口
115.78,36.43,大型汽车,31,2021,3,2,48卡口
115.78,36.43,重型栏板货车,17,2021,3,2,48卡口
115.78,36.43,小型普通客车,6,2021,3,2,48卡口
115.78,36.43,小型普通客车,500,2021,3,2,48卡口
115.78,36.43,重型栏板货车,103,2021,3,2,48卡口
115.78,36.43,小型普通客车,259,2021,3,2,48卡口
115.78,36.43,重型栏板货车,98,2021,3,2,48卡口
115.78,36.43,普通二轮摩托车,1,2021,3,2,48卡口
115.78,36.43,其它,1,2021,3,2,48卡口
115.78,36.43,小型普通客车,403,2021,3,2,48卡口
115.78,36.43,重型栏板货车,102,2021,3,2,48卡口
115.78,36.43,其它,1,2021,3,2,48卡口
115.78,36.43,大型汽车,31,2021,3,3,48卡口
115.78,36.43,小型汽车,6,2021,3,3,48卡口
115.78,36.43,小型汽车,51,2021,3,3,48卡口
115.78,36.43,大型汽车,28,2021,3,3,48卡口
115.78,36.43,小型汽车,60,2021,3,3,48卡口
115.78,36.43,大型汽车,42,2021,3,3,48卡口
115.78,36.43,小型汽车,61,2021,3,3,48卡口
115.78,36.43,大型汽车,31,2021,3,3,48卡口
115.78,36.43,重型栏板货车,38,2021,3,3,48卡口
115.78,36.43,小型普通客车,17,2021,3,3,48卡口
115.78,36.43,小型普通客车,471,2021,3,3,48卡口
115.78,36.43,重型栏板货车,103,2021,3,3,48卡口
115.78,36.43,小型普通客车,276,2021,3,3,48卡口
115.78,36.43,重型栏板货车,119,2021,3,3,48卡口
115.78,36.43,小型普通客车,392,2021,3,3,48卡口
115.78,36.43,重型栏板货车,135,2021,3,3,48卡口
115.78,36.43,其它,1,2021,3,3,48卡口
115.78,36.43,大型汽车,30,2021,3,4,48卡口
115.78,36.43,小型汽车,6,2021,3,4,48卡口
115.78,36.43,小型汽车,43,2021,3,4,48卡口
115.78,36.43,大型汽车,29,2021,3,4,48卡口
115.78,36.43,小型汽车,58,2021,3,4,48卡口
115.78,36.43,大型汽车,55,2021,3,4,48卡口
115.78,36.43,小型汽车,59,2021,3,4,48卡口
115.78,36.43,大型汽车,42,2021,3,4,48卡口
115.78,36.43,重型栏板货车,30,2021,3,4,48卡口
115.78,36.43,小型普通客车,11,2021,3,4,48卡口
115.78,36.43,小型普通客车,469,2021,3,4,48卡口
115.78,36.43,重型栏板货车,121,2021,3,4,48卡口
115.78,36.43,小型普通客车,229,2021,3,4,48卡口
115.78,36.43,重型栏板货车,111,2021,3,4,48卡口
115.78,36.43,小型普通客车,388,2021,3,4,48卡口
115.78,36.43,重型栏板货车,135,2021,3,4,48卡口
115.78,36.43,大型汽车,32,2021,3,5,48卡口
115.78,36.43,小型汽车,4,2021,3,5,48卡口
115.78,36.43,小型汽车,57,2021,3,5,48卡口
115.78,36.43,大型汽车,31,2021,3,5,48卡口
115.78,36.43,大型汽车,53,2021,3,5,48卡口
115.78,36.43,小型汽车,43,2021,3,5,48卡口
115.78,36.43,小型汽车,56,2021,3,5,48卡口
115.78,36.43,大型汽车,44,2021,3,5,48卡口
115.78,36.43,重型栏板货车,33,2021,3,5,48卡口
115.78,36.43,小型普通客车,10,2021,3,5,48卡口
115.78,36.43,小型普通客车,525,2021,3,5,48卡口
115.78,36.43,重型栏板货车,102,2021,3,5,48卡口
115.78,36.43,小型普通客车,222,2021,3,5,48卡口
115.78,36.43,重型栏板货车,121,2021,3,5,48卡口
115.78,36.43,小型普通客车,418,2021,3,5,48卡口
115.78,36.43,重型栏板货车,156,2021,3,5,48卡口
115.78,36.43,其它,3,2021,3,5,48卡口
115.78,36.43,大型汽车,21,2021,3,6,48卡口
115.78,36.43,小型汽车,8,2021,3,6,48卡口
115.78,36.43,小型汽车,51,2021,3,6,48卡口
115.78,36.43,大型汽车,35,2021,3,6,48卡口
115.78,36.43,小型汽车,58,2021,3,6,48卡口
115.78,36.43,大型汽车,48,2021,3,6,48卡口
115.78,36.43,小型汽车,45,2021,3,6,48卡口
115.78,36.43,大型汽车,43,2021,3,6,48卡口
115.78,36.43,重型栏板货车,51,2021,3,6,48卡口
115.78,36.43,小型普通客车,11,2021,3,6,48卡口
115.78,36.43,小型普通客车,361,2021,3,6,48卡口
115.78,36.43,重型栏板货车,118,2021,3,6,48卡口
115.78,36.43,小型普通客车,246,2021,3,6,48卡口
115.78,36.43,重型栏板货车,131,2021,3,6,48卡口
115.78,36.43,小型普通客车,339,2021,3,6,48卡口
115.78,36.43,重型栏板货车,123,2021,3,6,48卡口
115.78,36.43,其它,3,2021,3,6,48卡口
115.78,36.43,大型汽车,32,2021,3,7,48卡口
115.78,36.43,小型汽车,8,2021,3,7,48卡口
115.78,36.43,小型汽车,44,2021,3,7,48卡口
115.78,36.43,大型汽车,30,2021,3,7,48卡口
115.78,36.43,小型汽车,63,2021,3,7,48卡口
115.78,36.43,大型汽车,51,2021,3,7,48卡口
115.78,36.43,小型汽车,55,2021,3,7,48卡口
115.78,36.43,大型汽车,46,2021,3,7,48卡口
115.78,36.43,重型栏板货车,71,2021,3,7,48卡口
115.78,36.43,小型普通客车,11,2021,3,7,48卡口
115.78,36.43,小型普通客车,327,2021,3,7,48卡口
115.78,36.43,重型栏板货车,113,2021,3,7,48卡口
115.78,36.43,小型普通客车,259,2021,3,7,48卡口
115.78,36.43,重型栏板货车,137,2021,3,7,48卡口
115.78,36.43,小型普通客车,428,2021,3,7,48卡口
115.78,36.43,重型栏板货车,152,2021,3,7,48卡口
115.78,36.43,大型汽车,34,2021,3,8,48卡口
