jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.66,36.33,小型汽车,58,2021,3,1,11卡口
115.66,36.33,大型汽车,3,2021,3,1,11卡口
115.66,36.33,小型汽车,111,2021,3,1,11卡口
115.66,36.33,大型汽车,2,2021,3,1,11卡口
115.66,36.33,小型普通客车,26,2021,3,1,11卡口
115.66,36.33,重型栏板货车,1,2021,3,1,11卡口
115.66,36.33,小型普通客车,702,2021,3,1,11卡口
115.66,36.33,重型栏板货车,22,2021,3,1,11卡口
115.66,36.33,小型普通客车,585,2021,3,1,11卡口
115.66,36.33,重型栏板货车,24,2021,3,1,11卡口
115.66,36.33,小型普通客车,962,2021,3,1,11卡口
115.66,36.33,重型栏板货车,30,2021,3,1,11卡口
115.66,36.33,小型汽车,52,2021,3,2,11卡口
115.66,36.33,大型汽车,1,2021,3,2,11卡口
115.66,36.33,小型汽车,73,2021,3,2,11卡口
115.66,36.33,大型汽车,1,2021,3,2,11卡口
115.66,36.33,小型普通客车,617,2021,3,2,11卡口
115.66,36.33,重型栏板货车,19,2021,3,2,11卡口
115.66,36.33,小型普通客车,559,2021,3,2,11卡口
115.66,36.33,重型栏板货车,27,2021,3,2,11卡口
115.66,36.33,小型普通客车,1089,2021,3,2,11卡口
115.66,36.33,重型栏板货车,29,2021,3,2,11卡口
115.66,36.33,小型汽车,58,2021,3,3,11卡口
115.66,36.33,大型汽车,1,2021,3,3,11卡口
115.66,36.33,小型汽车,111,2021,3,3,11卡口
115.66,36.33,大型汽车,5,2021,3,3,11卡口
115.66,36.33,小型普通客车,26,2021,3,3,11卡口
115.66,36.33,重型栏板货车,2,2021,3,3,11卡口
115.66,36.33,小型普通客车,612,2021,3,3,11卡口
115.66,36.33,重型栏板货车,27,2021,3,3,11卡口
115.66,36.33,小型普通客车,526,2021,3,3,11卡口
115.66,36.33,重型栏板货车,24,2021,3,3,11卡口
115.66,36.33,小型普通客车,1105,2021,3,3,11卡口
115.66,36.33,重型栏板货车,31,2021,3,3,11卡口
115.66,36.33,小型汽车,46,2021,3,4,11卡口
115.66,36.33,大型汽车,2,2021,3,4,11卡口
115.66,36.33,小型汽车,88,2021,3,4,11卡口
115.66,36.33,大型汽车,1,2021,3,4,11卡口
115.66,36.33,小型汽车,116,2021,3,4,11卡口
115.66,36.33,大型汽车,7,2021,3,4,11卡口
115.66,36.33,小型普通客车,26,2021,3,4,11卡口
115.66,36.33,重型栏板货车,1,2021,3,4,11卡口
115.66,36.33,小型普通客车,586,2021,3,4,11卡口
115.66,36.33,重型栏板货车,28,2021,3,4,11卡口
115.66,36.33,小型普通客车,549,2021,3,4,11卡口
115.66,36.33,重型栏板货车,21,2021,3,4,11卡口
115.66,36.33,小型普通客车,1053,2021,3,4,11卡口
115.66,36.33,重型栏板货车,37,2021,3,4,11卡口
115.66,36.33,小型汽车,2,2021,3,5,11卡口
115.66,36.33,大型汽车,1,2021,3,5,11卡口
115.66,36.33,小型汽车,57,2021,3,5,11卡口
115.66,36.33,大型汽车,3,2021,3,5,11卡口
115.66,36.33,小型汽车,82,2021,3,5,11卡口
115.66,36.33,大型汽车,6,2021,3,5,11卡口
115.66,36.33,小型汽车,109,2021,3,5,11卡口
115.66,36.33,大型汽车,2,2021,3,5,11卡口
115.66,36.33,小型普通客车,19,2021,3,5,11卡口
115.66,36.33,重型栏板货车,5,2021,3,5,11卡口
115.66,36.33,小型普通客车,594,2021,3,5,11卡口
115.66,36.33,重型栏板货车,32,2021,3,5,11卡口
115.66,36.33,小型普通客车,537,2021,3,5,11卡口
115.66,36.33,重型栏板货车,29,2021,3,5,11卡口
115.66,36.33,小型普通客车,1095,2021,3,5,11卡口
115.66,36.33,重型栏板货车,37,2021,3,5,11卡口
115.66,36.33,小型汽车,3,2021,3,6,11卡口
115.66,36.33,大型汽车,1,2021,3,6,11卡口
115.66,36.33,小型汽车,55,2021,3,6,11卡口
115.66,36.33,大型汽车,2,2021,3,6,11卡口
115.66,36.33,小型汽车,88,2021,3,6,11卡口
115.66,36.33,大型汽车,4,2021,3,6,11卡口
115.66,36.33,小型汽车,86,2021,3,6,11卡口
115.66,36.33,大型汽车,3,2021,3,6,11卡口
115.66,36.33,小型普通客车,27,2021,3,6,11卡口
115.66,36.33,重型栏板货车,4,2021,3,6,11卡口
115.66,36.33,小型普通客车,613,2021,3,6,11卡口
115.66,36.33,重型栏板货车,29,2021,3,6,11卡口
115.66,36.33,小型普通客车,535,2021,3,6,11卡口
115.66,36.33,重型栏板货车,23,2021,3,6,11卡口
115.66,36.33,小型普通客车,849,2021,3,6,11卡口
115.66,36.33,重型栏板货车,26,2021,3,6,11卡口
115.66,36.33,小型汽车,54,2021,3,7,11卡口
115.66,36.33,大型汽车,1,2021,3,7,11卡口
115.66,36.33,小型汽车,87,2021,3,7,11卡口
115.66,36.33,大型汽车,2,2021,3,7,11卡口
115.66,36.33,小型汽车,110,2021,3,7,11卡口
115.66,36.33,大型汽车,2,2021,3,7,11卡口
115.66,36.33,小型普通客车,27,2021,3,7,11卡口
115.66,36.33,重型栏板货车,1,2021,3,7,11卡口
115.66,36.33,小型普通客车,538,2021,3,7,11卡口
115.66,36.33,重型栏板货车,26,2021,3,7,11卡口
115.66,36.33,小型普通客车,587,2021,3,7,11卡口
115.66,36.33,重型栏板货车,23,2021,3,7,11卡口
115.66,36.33,小型普通客车,936,2021,3,7,11卡口
115.66,36.33,重型栏板货车,27,2021,3,7,11卡口
115.66,36.33,小型汽车,4,2021,3,8,11卡口
115.66,36.33,大型汽车,1,2021,3,8,11卡口
115.66,36.33,小型汽车,62,2021,3,8,11卡口
115.66,36.33,大型汽车,3,2021,3,8,11卡口
115.66,36.33,小型汽车,71,2021,3,8,11卡口
115.66,36.33,大型汽车,2,2021,3,8,11卡口
115.66,36.33,小型汽车,107,2021,3,8,11卡口
115.66,36.33,大型汽车,3,2021,3,8,11卡口
115.66,36.33,小型普通客车,22,2021,3,8,11卡口
115.66,36.33,重型栏板货车,7,2021,3,8,11卡口
115.66,36.33,小型普通客车,663,2021,3,8,11卡口
115.66,36.33,重型栏板货车,26,2021,3,8,11卡口
115.66,36.33,小型普通客车,560,2021,3,8,11卡口
115.66,36.33,重型栏板货车,34,2021,3,8,11卡口
115.66,36.33,小型普通客车,1005,2021,3,8,11卡口
115.66,36.33,重型栏板货车,44,2021,3,8,11卡口
115.66,36.33,小型汽车,61,2021,3,9,11卡口
115.66,36.33,大型汽车,1,2021,3,9,11卡口
115.66,36.33,小型汽车,80,2021,3,9,11卡口
115.66,36.33,大型汽车,1,2021,3,9,11卡口
115.66,36.33,小型汽车,114,2021,3,9,11卡口
115.66,36.33,大型汽车,4,2021,3,9,11卡口
115.66,36.33,小型普通客车,32,2021,3,9,11卡口
115.66,36.33,重型栏板货车,1,2021,3,9,11卡口
115.66,36.33,小型普通客车,580,2021,3,9,11卡口
115.66,36.33,重型栏板货车,29,2021,3,9,11卡口
115.66,36.33,小型普通客车,504,2021,3,9,11卡口
115.66,36.33,重型栏板货车,27,2021,3,9,11卡口
115.66,36.33,小型普通客车,1037,2021,3,9,11卡口
115.66,36.33,重型栏板货车,36,2021,3,9,11卡口
115.66,36.33,小型汽车,56,2021,3,10,11卡口
115.66,36.33,大型汽车,2,2021,3,10,11卡口
115.66,36.33,小型汽车,85,2021,3,10,11卡口
115.66,36.33,大型汽车,4,2021,3,10,11卡口
115.66,36.33,小型汽车,116,2021,3,10,11卡口
115.66,36.33,大型汽车,3,2021,3,10,11卡口
115.66,36.33,小型普通客车,581,2021,3,10,11卡口
115.66,36.33,重型栏板货车,23,2021,3,10,11卡口
115.66,36.33,小型普通客车,560,2021,3,10,11卡口
115.66,36.33,重型栏板货车,23,2021,3,10,11卡口
115.66,36.33,小型普通客车,1063,2021,3,10,11卡口
115.66,36.33,重型栏板货车,31,2021,3,10,11卡口
115.66,36.33,小型汽车,52,2021,3,11,11卡口
115.66,36.33,大型汽车,1,2021,3,11,11卡口
115.66,36.33,小型汽车,83,2021,3,11,11卡口
115.66,36.33,大型汽车,5,2021,3,11,11卡口
115.66,36.33,小型汽车,123,2021,3,11,11卡口
115.66,36.33,大型汽车,3,2021,3,11,11卡口
115.66,36.33,小型普通客车,586,2021,3,11,11卡口
115.66,36.33,重型栏板货车,21,2021,3,11,11卡口
115.66,36.33,小型普通客车,467,2021,3,11,11卡口
115.66,36.33,重型栏板货车,24,2021,3,11,11卡口
115.66,36.33,小型普通客车,981,2021,3,11,11卡口
115.66,36.33,重型栏板货车,26,2021,3,11,11卡口
115.66,36.33,小型汽车,64,2021,3,12,11卡口
115.66,36.33,大型汽车,2,2021,3,12,11卡口
115.66,36.33,小型汽车,79,2021,3,12,11卡口
115.66,36.33,大型汽车,1,2021,3,12,11卡口
115.66,36.33,小型汽车,102,2021,3,12,11卡口
115.66,36.33,大型汽车,3,2021,3,12,11卡口
115.66,36.33,小型普通客车,590,2021,3,12,11卡口
115.66,36.33,重型栏板货车,24,2021,3,12,11卡口
115.66,36.33,小型普通客车,535,2021,3,12,11卡口
115.66,36.33,重型栏板货车,25,2021,3,12,11卡口
115.66,36.33,小型普通客车,1111,2021,3,12,11卡口
115.66,36.33,重型栏板货车,21,2021,3,12,11卡口
115.66,36.33,小型汽车,64,2021,3,13,11卡口
115.66,36.33,大型汽车,2,2021,3,13,11卡口
115.66,36.33,小型汽车,91,2021,3,13,11卡口
115.66,36.33,大型汽车,2,2021,3,13,11卡口
115.66,36.33,小型汽车,115,2021,3,13,11卡口
115.66,36.33,大型汽车,3,2021,3,13,11卡口
115.66,36.33,小型普通客车,19,2021,3,13,11卡口
115.66,36.33,重型栏板货车,1,2021,3,13,11卡口
115.66,36.33,小型普通客车,603,2021,3,13,11卡口
115.66,36.33,重型栏板货车,13,2021,3,13,11卡口
115.66,36.33,小型普通客车,591,2021,3,13,11卡口
115.66,36.33,重型栏板货车,23,2021,3,13,11卡口
115.66,36.33,小型普通客车,960,2021,3,13,11卡口
115.66,36.33,重型栏板货车,10,2021,3,13,11卡口
115.66,36.33,小型汽车,50,2021,3,14,11卡口
115.66,36.33,大型汽车,1,2021,3,14,11卡口
115.66,36.33,小型汽车,84,2021,3,14,11卡口
115.66,36.33,大型汽车,4,2021,3,14,11卡口
115.66,36.33,小型汽车,112,2021,3,14,11卡口
115.66,36.33,大型汽车,3,2021,3,14,11卡口
115.66,36.33,小型普通客车,33,2021,3,14,11卡口
115.66,36.33,重型栏板货车,1,2021,3,14,11卡口
115.66,36.33,小型普通客车,526,2021,3,14,11卡口
115.66,36.33,重型栏板货车,22,2021,3,14,11卡口
115.66,36.33,小型普通客车,595,2021,3,14,11卡口
115.66,36.33,重型栏板货车,16,2021,3,14,11卡口
115.66,36.33,小型普通客车,928,2021,3,14,11卡口
115.66,36.33,重型栏板货车,23,2021,3,14,11卡口
115.66,36.33,小型汽车,72,2021,3,15,11卡口
115.66,36.33,大型汽车,2,2021,3,15,11卡口
115.66,36.33,小型汽车,75,2021,3,15,11卡口
115.66,36.33,大型汽车,1,2021,3,15,11卡口
115.66,36.33,小型汽车,102,2021,3,15,11卡口
115.66,36.33,大型汽车,2,2021,3,15,11卡口
115.66,36.33,小型普通客车,27,2021,3,15,11卡口
115.66,36.33,重型栏板货车,1,2021,3,15,11卡口
115.66,36.33,小型普通客车,717,2021,3,15,11卡口
115.66,36.33,重型栏板货车,31,2021,3,15,11卡口
115.66,36.33,小型普通客车,562,2021,3,15,11卡口
115.66,36.33,重型栏板货车,34,2021,3,15,11卡口
115.66,36.33,小型普通客车,1046,2021,3,15,11卡口
115.66,36.33,重型栏板货车,23,2021,3,15,11卡口
115.66,36.33,小型汽车,69,2021,3,16,11卡口
115.66,36.33,大型汽车,4,2021,3,16,11卡口
115.66,36.33,小型汽车,93,2021,3,16,11卡口
115.66,36.33,大型汽车,4,2021,3,16,11卡口
115.66,36.33,小型汽车,111,2021,3,16,11卡口
115.66,36.33,大型汽车,2,2021,3,16,11卡口
115.66,36.33,小型普通客车,24,2021,3,16,11卡口
115.66,36.33,重型栏板货车,1,2021,3,16,11卡口
115.66,36.33,小型普通客车,621,2021,3,16,11卡口
115.66,36.33,重型栏板货车,27,2021,3,16,11卡口
115.66,36.33,小型普通客车,481,2021,3,16,11卡口
115.66,36.33,重型栏板货车,33,2021,3,16,11卡口
115.66,36.33,小型普通客车,1000,2021,3,16,11卡口
115.66,36.33,重型栏板货车,23,2021,3,16,11卡口
115.66,36.33,小型汽车,4,2021,3,17,11卡口
115.66,36.33,大型汽车,1,2021,3,17,11卡口
115.66,36.33,小型汽车,54,2021,3,17,11卡口
115.66,36.33,大型汽车,2,2021,3,17,11卡口
115.66,36.33,小型汽车,61,2021,3,17,11卡口
115.66,36.33,大型汽车,3,2021,3,17,11卡口
115.66,36.33,小型汽车,100,2021,3,17,11卡口
115.66,36.33,大型汽车,3,2021,3,17,11卡口
115.66,36.33,小型普通客车,27,2021,3,17,11卡口
115.66,36.33,重型栏板货车,6,2021,3,17,11卡口
115.66,36.33,小型普通客车,610,2021,3,17,11卡口
115.66,36.33,重型栏板货车,34,2021,3,17,11卡口
115.66,36.33,小型普通客车,485,2021,3,17,11卡口
115.66,36.33,重型栏板货车,33,2021,3,17,11卡口
115.66,36.33,小型普通客车,1077,2021,3,17,11卡口
115.66,36.33,重型栏板货车,26,2021,3,17,11卡口
115.66,36.33,小型汽车,63,2021,3,18,11卡口
115.66,36.33,大型汽车,1,2021,3,18,11卡口
115.66,36.33,小型汽车,83,2021,3,18,11卡口
115.66,36.33,大型汽车,2,2021,3,18,11卡口
115.66,36.33,小型汽车,117,2021,3,18,11卡口
115.66,36.33,大型汽车,3,2021,3,18,11卡口
115.66,36.33,小型普通客车,21,2021,3,18,11卡口
115.66,36.33,重型栏板货车,5,2021,3,18,11卡口
115.66,36.33,小型普通客车,636,2021,3,18,11卡口
115.66,36.33,重型栏板货车,31,2021,3,18,11卡口
115.66,36.33,小型普通客车,522,2021,3,18,11卡口
115.66,36.33,重型栏板货车,33,2021,3,18,11卡口
115.66,36.33,小型普通客车,1083,2021,3,18,11卡口
115.66,36.33,重型栏板货车,26,2021,3,18,11卡口
115.66,36.33,小型汽车,4,2021,3,19,11卡口
115.66,36.33,大型汽车,2,2021,3,19,11卡口
115.66,36.33,小型汽车,61,2021,3,19,11卡口
115.66,36.33,大型汽车,2,2021,3,19,11卡口
115.66,36.33,小型汽车,73,2021,3,19,11卡口
115.66,36.33,大型汽车,4,2021,3,19,11卡口
115.66,36.33,小型汽车,109,2021,3,19,11卡口
115.66,36.33,大型汽车,3,2021,3,19,11卡口
115.66,36.33,小型普通客车,21,2021,3,19,11卡口
115.66,36.33,重型栏板货车,10,2021,3,19,11卡口
115.66,36.33,小型普通客车,596,2021,3,19,11卡口
115.66,36.33,重型栏板货车,26,2021,3,19,11卡口
115.66,36.33,小型普通客车,570,2021,3,19,11卡口
115.66,36.33,重型栏板货车,26,2021,3,19,11卡口
115.66,36.33,小型普通客车,1059,2021,3,19,11卡口
115.66,36.33,重型栏板货车,30,2021,3,19,11卡口
115.66,36.33,小型汽车,63,2021,3,20,11卡口
115.66,36.33,大型汽车,1,2021,3,20,11卡口
115.66,36.33,小型汽车,82,2021,3,20,11卡口
115.66,36.33,大型汽车,2,2021,3,20,11卡口
115.66,36.33,小型汽车,110,2021,3,20,11卡口
115.66,36.33,大型汽车,1,2021,3,20,11卡口
115.66,36.33,小型普通客车,22,2021,3,20,11卡口
115.66,36.33,重型栏板货车,1,2021,3,20,11卡口
115.66,36.33,小型普通客车,555,2021,3,20,11卡口
115.66,36.33,重型栏板货车,36,2021,3,20,11卡口
115.66,36.33,小型普通客车,562,2021,3,20,11卡口
115.66,36.33,重型栏板货车,27,2021,3,20,11卡口
115.66,36.33,小型普通客车,919,2021,3,20,11卡口
115.66,36.33,重型栏板货车,29,2021,3,20,11卡口
115.66,36.33,小型汽车,4,2021,3,21,11卡口
115.66,36.33,大型汽车,1,2021,3,21,11卡口
115.66,36.33,小型汽车,80,2021,3,21,11卡口
115.66,36.33,大型汽车,2,2021,3,21,11卡口
115.66,36.33,小型汽车,92,2021,3,21,11卡口
115.66,36.33,大型汽车,2,2021,3,21,11卡口
115.66,36.33,小型汽车,104,2021,3,21,11卡口
115.66,36.33,大型汽车,8,2021,3,21,11卡口
115.66,36.33,小型普通客车,26,2021,3,21,11卡口
115.66,36.33,重型栏板货车,5,2021,3,21,11卡口
115.66,36.33,小型普通客车,555,2021,3,21,11卡口
115.66,36.33,重型栏板货车,25,2021,3,21,11卡口
115.66,36.33,小型普通客车,567,2021,3,21,11卡口
115.66,36.33,重型栏板货车,26,2021,3,21,11卡口
115.66,36.33,小型普通客车,993,2021,3,21,11卡口
115.66,36.33,重型栏板货车,28,2021,3,21,11卡口
115.66,36.33,小型汽车,65,2021,3,22,11卡口
115.66,36.33,大型汽车,1,2021,3,22,11卡口
115.66,36.33,小型汽车,107,2021,3,22,11卡口
115.66,36.33,大型汽车,2,2021,3,22,11卡口
115.66,36.33,小型普通客车,19,2021,3,22,11卡口
115.66,36.33,重型栏板货车,4,2021,3,22,11卡口
115.66,36.33,小型普通客车,652,2021,3,22,11卡口
115.66,36.33,重型栏板货车,32,2021,3,22,11卡口
115.66,36.33,小型普通客车,519,2021,3,22,11卡口
115.66,36.33,重型栏板货车,24,2021,3,22,11卡口
115.66,36.33,小型普通客车,1149,2021,3,22,11卡口
