jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.02,36.4,小型汽车,164,2021,3,1,258卡口
116.02,36.4,大型汽车,1,2021,3,1,258卡口
116.02,36.4,小型普通客车,1884,2021,3,1,258卡口
116.02,36.4,重型栏板货车,6,2021,3,1,258卡口
116.02,36.4,小型普通客车,1059,2021,3,1,258卡口
116.02,36.4,重型栏板货车,3,2021,3,1,258卡口
116.02,36.4,小型普通客车,984,2021,3,1,258卡口
116.02,36.4,重型栏板货车,3,2021,3,1,258卡口
116.02,36.4,小型汽车,135,2021,3,2,258卡口
116.02,36.4,大型汽车,1,2021,3,2,258卡口
116.02,36.4,小型汽车,145,2021,3,2,258卡口
116.02,36.4,大型汽车,1,2021,3,2,258卡口
116.02,36.4,小型普通客车,1807,2021,3,2,258卡口
116.02,36.4,重型栏板货车,7,2021,3,2,258卡口
116.02,36.4,小型普通客车,1003,2021,3,2,258卡口
116.02,36.4,重型栏板货车,2,2021,3,2,258卡口
116.02,36.4,小型普通客车,953,2021,3,2,258卡口
116.02,36.4,重型栏板货车,3,2021,3,2,258卡口
116.02,36.4,小型汽车,6,2021,3,3,258卡口
116.02,36.4,大型汽车,1,2021,3,3,258卡口
116.02,36.4,小型普通客车,57,2021,3,3,258卡口
116.02,36.4,重型栏板货车,2,2021,3,3,258卡口
116.02,36.4,小型普通客车,1722,2021,3,3,258卡口
116.02,36.4,重型栏板货车,7,2021,3,3,258卡口
116.02,36.4,小型普通客车,981,2021,3,3,258卡口
116.02,36.4,重型栏板货车,3,2021,3,3,258卡口
116.02,36.4,小型普通客车,909,2021,3,3,258卡口
116.02,36.4,重型栏板货车,2,2021,3,3,258卡口
116.02,36.4,小型汽车,146,2021,3,4,258卡口
116.02,36.4,大型汽车,2,2021,3,4,258卡口
116.02,36.4,小型普通客车,77,2021,3,4,258卡口
116.02,36.4,重型栏板货车,4,2021,3,4,258卡口
116.02,36.4,小型普通客车,1666,2021,3,4,258卡口
116.02,36.4,重型栏板货车,9,2021,3,4,258卡口
116.02,36.4,小型普通客车,989,2021,3,4,258卡口
116.02,36.4,重型栏板货车,3,2021,3,4,258卡口
