jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.9,36.45,大型汽车,14,2021,3,1,119卡口
115.9,36.45,小型汽车,1,2021,3,1,119卡口
115.9,36.45,小型汽车,33,2021,3,1,119卡口
115.9,36.45,大型汽车,12,2021,3,1,119卡口
115.9,36.45,小型汽车,47,2021,3,1,119卡口
115.9,36.45,大型汽车,34,2021,3,1,119卡口
115.9,36.45,大型汽车,61,2021,3,1,119卡口
115.9,36.45,小型汽车,37,2021,3,1,119卡口
115.9,36.45,重型栏板货车,14,2021,3,1,119卡口
115.9,36.45,小型普通客车,8,2021,3,1,119卡口
115.9,36.45,小型普通客车,405,2021,3,1,119卡口
115.9,36.45,重型栏板货车,46,2021,3,1,119卡口
115.9,36.45,其它,1,2021,3,1,119卡口
115.9,36.45,小型普通客车,266,2021,3,1,119卡口
115.9,36.45,重型栏板货车,94,2021,3,1,119卡口
115.9,36.45,小型普通客车,328,2021,3,1,119卡口
115.9,36.45,重型栏板货车,108,2021,3,1,119卡口
115.9,36.45,其它,1,2021,3,1,119卡口
115.9,36.45,小型汽车,49,2021,3,2,119卡口
115.9,36.45,大型汽车,25,2021,3,2,119卡口
115.9,36.45,小型汽车,58,2021,3,2,119卡口
115.9,36.45,大型汽车,27,2021,3,2,119卡口
115.9,36.45,小型汽车,53,2021,3,2,119卡口
115.9,36.45,大型汽车,47,2021,3,2,119卡口
115.9,36.45,重型栏板货车,19,2021,3,2,119卡口
115.9,36.45,小型普通客车,6,2021,3,2,119卡口
115.9,36.45,小型普通客车,397,2021,3,2,119卡口
115.9,36.45,重型栏板货车,66,2021,3,2,119卡口
115.9,36.45,小型普通客车,316,2021,3,2,119卡口
115.9,36.45,重型栏板货车,133,2021,3,2,119卡口
115.9,36.45,小型普通客车,358,2021,3,2,119卡口
115.9,36.45,重型栏板货车,118,2021,3,2,119卡口
115.9,36.45,其它,4,2021,3,2,119卡口
115.9,36.45,大型汽车,10,2021,3,3,119卡口
115.9,36.45,小型汽车,4,2021,3,3,119卡口
115.9,36.45,小型汽车,49,2021,3,3,119卡口
115.9,36.45,大型汽车,18,2021,3,3,119卡口
115.9,36.45,小型汽车,52,2021,3,3,119卡口
115.9,36.45,大型汽车,45,2021,3,3,119卡口
115.9,36.45,小型汽车,61,2021,3,3,119卡口
115.9,36.45,大型汽车,36,2021,3,3,119卡口
115.9,36.45,重型栏板货车,32,2021,3,3,119卡口
115.9,36.45,小型普通客车,12,2021,3,3,119卡口
115.9,36.45,其它,1,2021,3,3,119卡口
115.9,36.45,小型普通客车,391,2021,3,3,119卡口
115.9,36.45,重型栏板货车,75,2021,3,3,119卡口
115.9,36.45,其它,1,2021,3,3,119卡口
115.9,36.45,小型普通客车,276,2021,3,3,119卡口
115.9,36.45,重型栏板货车,86,2021,3,3,119卡口
115.9,36.45,其它,1,2021,3,3,119卡口
115.9,36.45,小型普通客车,366,2021,3,3,119卡口
115.9,36.45,重型栏板货车,93,2021,3,3,119卡口
