jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.93,36.39,小型汽车,14,2021,3,1,137卡口
115.93,36.39,大型汽车,1,2021,3,1,137卡口
115.93,36.39,其它,10,2021,3,1,137卡口
115.93,36.39,重型栏板货车,1,2021,3,1,137卡口
115.93,36.39,小型普通客车,1,2021,3,1,137卡口
115.93,36.39,其它,10,2021,3,1,137卡口
115.93,36.39,小型普通客车,1,2021,3,1,137卡口
115.93,36.39,其它,6,2021,3,1,137卡口
115.93,36.39,小型普通客车,2,2021,3,1,137卡口
115.93,36.39,小型汽车,13,2021,3,2,137卡口
115.93,36.39,大型汽车,2,2021,3,2,137卡口
115.93,36.39,小型汽车,15,2021,3,2,137卡口
115.93,36.39,大型汽车,1,2021,3,2,137卡口
115.93,36.39,其它,10,2021,3,2,137卡口
115.93,36.39,重型栏板货车,2,2021,3,2,137卡口
115.93,36.39,其它,6,2021,3,2,137卡口
115.93,36.39,小型普通客车,2,2021,3,2,137卡口
115.93,36.39,其它,13,2021,3,2,137卡口
115.93,36.39,小型普通客车,2,2021,3,2,137卡口
115.93,36.39,重型栏板货车,1,2021,3,2,137卡口
115.93,36.39,小型汽车,7,2021,3,3,137卡口
115.93,36.39,大型汽车,1,2021,3,3,137卡口
115.93,36.39,小型汽车,8,2021,3,3,137卡口
115.93,36.39,大型汽车,1,2021,3,3,137卡口
115.93,36.39,其它,5,2021,3,3,137卡口
115.93,36.39,小型普通客车,3,2021,3,3,137卡口
115.93,36.39,其它,10,2021,3,3,137卡口
115.93,36.39,小型普通客车,1,2021,3,3,137卡口
115.93,36.39,其它,12,2021,3,3,137卡口
115.93,36.39,小型普通客车,2,2021,3,3,137卡口
115.93,36.39,小型汽车,5,2021,3,4,137卡口
115.93,36.39,大型汽车,1,2021,3,4,137卡口
115.93,36.39,小型汽车,14,2021,3,4,137卡口
115.93,36.39,大型汽车,1,2021,3,4,137卡口
115.93,36.39,其它,10,2021,3,4,137卡口
115.93,36.39,小型普通客车,3,2021,3,4,137卡口
115.93,36.39,其它,13,2021,3,4,137卡口
115.93,36.39,小型普通客车,5,2021,3,4,137卡口
115.93,36.39,其它,9,2021,3,4,137卡口
115.93,36.39,重型栏板货车,2,2021,3,4,137卡口
115.93,36.39,小型普通客车,2,2021,3,4,137卡口
115.93,36.39,小型汽车,6,2021,3,5,137卡口
115.93,36.39,大型汽车,1,2021,3,5,137卡口
115.93,36.39,小型汽车,8,2021,3,5,137卡口
115.93,36.39,大型汽车,2,2021,3,5,137卡口
115.93,36.39,其它,6,2021,3,5,137卡口
115.93,36.39,小型普通客车,3,2021,3,5,137卡口
115.93,36.39,重型栏板货车,1,2021,3,5,137卡口
115.93,36.39,其它,11,2021,3,5,137卡口
115.93,36.39,小型普通客车,3,2021,3,5,137卡口
115.93,36.39,其它,7,2021,3,5,137卡口
115.93,36.39,小型普通客车,6,2021,3,5,137卡口
115.93,36.39,重型栏板货车,1,2021,3,5,137卡口
115.93,36.39,大型汽车,1,2021,3,6,137卡口
115.93,36.39,小型汽车,1,2021,3,6,137卡口
115.93,36.39,小型汽车,8,2021,3,6,137卡口
115.93,36.39,大型汽车,1,2021,3,6,137卡口
115.93,36.39,其它,5,2021,3,6,137卡口
115.93,36.39,小型普通客车,2,2021,3,6,137卡口
115.93,36.39,小型汽车,4,2021,3,7,137卡口
115.93,36.39,大型汽车,1,2021,3,7,137卡口
115.93,36.39,小型汽车,4,2021,3,7,137卡口
115.93,36.39,大型汽车,2,2021,3,7,137卡口
115.93,36.39,小型汽车,4,2021,3,7,137卡口
115.93,36.39,大型汽车,2,2021,3,7,137卡口
115.93,36.39,其它,8,2021,3,7,137卡口
115.93,36.39,重型栏板货车,1,2021,3,7,137卡口
115.93,36.39,其它,6,2021,3,7,137卡口
115.93,36.39,小型普通客车,2,2021,3,7,137卡口
115.93,36.39,小型汽车,6,2021,3,8,137卡口
115.93,36.39,大型汽车,1,2021,3,8,137卡口
115.93,36.39,其它,5,2021,3,8,137卡口
115.93,36.39,小型普通客车,2,2021,3,8,137卡口
115.93,36.39,重型栏板货车,1,2021,3,8,137卡口
115.93,36.39,其它,9,2021,3,8,137卡口
115.93,36.39,小型普通客车,4,2021,3,8,137卡口
115.93,36.39,重型栏板货车,1,2021,3,8,137卡口
115.93,36.39,小型汽车,12,2021,3,9,137卡口
115.93,36.39,大型汽车,2,2021,3,9,137卡口
115.93,36.39,小型汽车,10,2021,3,9,137卡口
115.93,36.39,大型汽车,1,2021,3,9,137卡口
115.93,36.39,其它,14,2021,3,9,137卡口
115.93,36.39,小型普通客车,5,2021,3,9,137卡口
115.93,36.39,其它,16,2021,3,9,137卡口
115.93,36.39,小型普通客车,2,2021,3,9,137卡口
115.93,36.39,重型栏板货车,1,2021,3,9,137卡口
115.93,36.39,其它,22,2021,3,9,137卡口
115.93,36.39,小型普通客车,2,2021,3,9,137卡口
115.93,36.39,小型汽车,7,2021,3,10,137卡口
115.93,36.39,大型汽车,1,2021,3,10,137卡口
115.93,36.39,小型汽车,13,2021,3,10,137卡口
115.93,36.39,大型汽车,1,2021,3,10,137卡口
115.93,36.39,其它,9,2021,3,10,137卡口
115.93,36.39,小型普通客车,3,2021,3,10,137卡口
115.93,36.39,重型栏板货车,1,2021,3,10,137卡口
115.93,36.39,其它,9,2021,3,10,137卡口
115.93,36.39,小型普通客车,2,2021,3,10,137卡口
115.93,36.39,其它,8,2021,3,10,137卡口
115.93,36.39,小型普通客车,4,2021,3,10,137卡口
115.93,36.39,重型栏板货车,2,2021,3,10,137卡口
115.93,36.39,其它,12,2021,3,11,137卡口
115.93,36.39,小型普通客车,6,2021,3,11,137卡口
115.93,36.39,重型栏板货车,1,2021,3,11,137卡口
115.93,36.39,其它,14,2021,3,11,137卡口
115.93,36.39,小型普通客车,3,2021,3,11,137卡口
115.93,36.39,其它,9,2021,3,11,137卡口
115.93,36.39,小型普通客车,3,2021,3,11,137卡口
115.93,36.39,重型栏板货车,1,2021,3,11,137卡口
115.93,36.39,小型汽车,9,2021,3,12,137卡口
115.93,36.39,大型汽车,1,2021,3,12,137卡口
115.93,36.39,小型汽车,17,2021,3,12,137卡口
115.93,36.39,大型汽车,3,2021,3,12,137卡口
115.93,36.39,其它,12,2021,3,12,137卡口
115.93,36.39,小型普通客车,2,2021,3,12,137卡口
115.93,36.39,重型栏板货车,1,2021,3,12,137卡口
115.93,36.39,其它,8,2021,3,12,137卡口
115.93,36.39,小型普通客车,1,2021,3,12,137卡口
115.93,36.39,其它,25,2021,3,12,137卡口
115.93,36.39,小型普通客车,4,2021,3,12,137卡口
115.93,36.39,重型栏板货车,3,2021,3,12,137卡口
115.93,36.39,小型汽车,4,2021,3,13,137卡口
115.93,36.39,大型汽车,2,2021,3,13,137卡口
115.93,36.39,小型汽车,5,2021,3,13,137卡口
115.93,36.39,大型汽车,1,2021,3,13,137卡口
115.93,36.39,小型汽车,4,2021,3,13,137卡口
115.93,36.39,大型汽车,1,2021,3,13,137卡口
115.93,36.39,其它,16,2021,3,13,137卡口
115.93,36.39,小型普通客车,8,2021,3,13,137卡口
115.93,36.39,重型栏板货车,1,2021,3,13,137卡口
115.93,36.39,微型栏板货车,1,2021,3,13,137卡口
115.93,36.39,其它,14,2021,3,13,137卡口
115.93,36.39,小型普通客车,5,2021,3,13,137卡口
115.93,36.39,其它,8,2021,3,13,137卡口
115.93,36.39,小型普通客车,3,2021,3,13,137卡口
115.93,36.39,小型汽车,4,2021,3,14,137卡口
115.93,36.39,大型汽车,2,2021,3,14,137卡口
115.93,36.39,小型汽车,2,2021,3,14,137卡口
115.93,36.39,大型汽车,1,2021,3,14,137卡口
115.93,36.39,其它,7,2021,3,14,137卡口
115.93,36.39,小型普通客车,3,2021,3,14,137卡口
115.93,36.39,其它,9,2021,3,14,137卡口
115.93,36.39,重型栏板货车,1,2021,3,14,137卡口
115.93,36.39,其它,10,2021,3,14,137卡口
115.93,36.39,小型普通客车,2,2021,3,14,137卡口
115.93,36.39,小型汽车,7,2021,3,15,137卡口
115.93,36.39,大型汽车,2,2021,3,15,137卡口
115.93,36.39,小型汽车,4,2021,3,15,137卡口
115.93,36.39,大型汽车,2,2021,3,15,137卡口
115.93,36.39,其它,5,2021,3,15,137卡口
115.93,36.39,小型普通客车,3,2021,3,15,137卡口
115.93,36.39,重型栏板货车,1,2021,3,15,137卡口
115.93,36.39,小型普通客车,4,2021,3,15,137卡口
115.93,36.39,其它,4,2021,3,15,137卡口
115.93,36.39,重型栏板货车,1,2021,3,15,137卡口
115.93,36.39,小型汽车,4,2021,3,16,137卡口
115.93,36.39,大型汽车,1,2021,3,16,137卡口
115.93,36.39,小型汽车,6,2021,3,16,137卡口
115.93,36.39,大型汽车,1,2021,3,16,137卡口
115.93,36.39,其它,9,2021,3,16,137卡口
115.93,36.39,小型普通客车,5,2021,3,16,137卡口
115.93,36.39,重型栏板货车,2,2021,3,16,137卡口
115.93,36.39,其它,6,2021,3,16,137卡口
