jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.89,36.11,小型汽车,86,2021,3,1,103卡口
115.89,36.11,大型汽车,6,2021,3,1,103卡口
115.89,36.11,小型汽车,150,2021,3,1,103卡口
115.89,36.11,大型汽车,1,2021,3,1,103卡口
115.89,36.11,小型汽车,87,2021,3,2,103卡口
115.89,36.11,大型汽车,3,2021,3,2,103卡口
115.89,36.11,小型汽车,89,2021,3,2,103卡口
115.89,36.11,大型汽车,2,2021,3,2,103卡口
115.89,36.11,小型汽车,150,2021,3,2,103卡口
115.89,36.11,大型汽车,3,2021,3,2,103卡口
115.89,36.11,小型汽车,81,2021,3,3,103卡口
115.89,36.11,大型汽车,1,2021,3,3,103卡口
115.89,36.11,小型汽车,71,2021,3,3,103卡口
115.89,36.11,大型汽车,1,2021,3,3,103卡口
115.89,36.11,小型汽车,160,2021,3,3,103卡口
115.89,36.11,大型汽车,2,2021,3,3,103卡口
115.89,36.11,小型汽车,92,2021,3,4,103卡口
115.89,36.11,大型汽车,4,2021,3,4,103卡口
115.89,36.11,小型汽车,95,2021,3,4,103卡口
115.89,36.11,大型汽车,1,2021,3,4,103卡口
115.89,36.11,小型汽车,176,2021,3,4,103卡口
115.89,36.11,大型汽车,3,2021,3,4,103卡口
115.89,36.11,小型汽车,82,2021,3,5,103卡口
115.89,36.11,大型汽车,2,2021,3,5,103卡口
115.89,36.11,小型汽车,70,2021,3,5,103卡口
115.89,36.11,大型汽车,1,2021,3,5,103卡口
115.89,36.11,小型汽车,43,2021,3,6,103卡口
115.89,36.11,大型汽车,1,2021,3,6,103卡口
115.89,36.11,小型汽车,3,2021,3,7,103卡口
115.89,36.11,大型汽车,1,2021,3,7,103卡口
115.89,36.11,小型汽车,48,2021,3,7,103卡口
115.89,36.11,大型汽车,2,2021,3,7,103卡口
115.89,36.11,小型汽车,72,2021,3,7,103卡口
115.89,36.11,大型汽车,2,2021,3,7,103卡口
115.89,36.11,小型汽车,117,2021,3,7,103卡口
115.89,36.11,大型汽车,3,2021,3,7,103卡口
115.89,36.11,小型汽车,99,2021,3,8,103卡口
115.89,36.11,大型汽车,2,2021,3,8,103卡口
115.89,36.11,小型汽车,155,2021,3,8,103卡口
115.89,36.11,大型汽车,1,2021,3,8,103卡口
115.89,36.11,小型汽车,7,2021,3,9,103卡口
115.89,36.11,大型汽车,2,2021,3,9,103卡口
115.89,36.11,小型汽车,83,2021,3,9,103卡口
115.89,36.11,大型汽车,1,2021,3,9,103卡口
115.89,36.11,小型汽车,64,2021,3,9,103卡口
115.89,36.11,大型汽车,1,2021,3,9,103卡口
115.89,36.11,小型汽车,175,2021,3,9,103卡口
115.89,36.11,大型汽车,2,2021,3,9,103卡口
115.89,36.11,小型汽车,68,2021,3,10,103卡口
