jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.07,36.61,小型汽车,76,2021,3,1,307卡口
116.07,36.61,大型汽车,1,2021,3,1,307卡口
116.07,36.61,小型普通客车,546,2021,3,1,307卡口
116.07,36.61,其它,412,2021,3,1,307卡口
116.07,36.61,重型栏板货车,3,2021,3,1,307卡口
116.07,36.61,小型普通客车,257,2021,3,1,307卡口
116.07,36.61,其它,188,2021,3,1,307卡口
116.07,36.61,重型栏板货车,1,2021,3,1,307卡口
116.07,36.61,小型普通客车,367,2021,3,1,307卡口
116.07,36.61,其它,291,2021,3,1,307卡口
116.07,36.61,重型栏板货车,2,2021,3,1,307卡口
116.07,36.61,小型汽车,76,2021,3,2,307卡口
116.07,36.61,大型汽车,1,2021,3,2,307卡口
116.07,36.61,小型汽车,67,2021,3,2,307卡口
116.07,36.61,大型汽车,1,2021,3,2,307卡口
116.07,36.61,其它,4,2021,3,2,307卡口
116.07,36.61,小型普通客车,2,2021,3,2,307卡口
116.07,36.61,重型栏板货车,1,2021,3,2,307卡口
116.07,36.61,小型普通客车,478,2021,3,2,307卡口
116.07,36.61,其它,384,2021,3,2,307卡口
116.07,36.61,重型栏板货车,3,2021,3,2,307卡口
116.07,36.61,小型普通客车,317,2021,3,2,307卡口
116.07,36.61,其它,125,2021,3,2,307卡口
116.07,36.61,重型栏板货车,4,2021,3,2,307卡口
116.07,36.61,小型普通客车,508,2021,3,2,307卡口
116.07,36.61,其它,216,2021,3,2,307卡口
116.07,36.61,重型栏板货车,3,2021,3,2,307卡口
116.07,36.61,小型普通客车,2,2021,3,3,307卡口
116.07,36.61,其它,2,2021,3,3,307卡口
116.07,36.61,重型栏板货车,1,2021,3,3,307卡口
116.07,36.61,小型普通客车,582,2021,3,3,307卡口
116.07,36.61,其它,240,2021,3,3,307卡口
116.07,36.61,重型栏板货车,4,2021,3,3,307卡口
116.07,36.61,小型普通客车,325,2021,3,3,307卡口
116.07,36.61,其它,112,2021,3,3,307卡口
116.07,36.61,重型栏板货车,3,2021,3,3,307卡口
116.07,36.61,小型普通客车,425,2021,3,3,307卡口
116.07,36.61,其它,184,2021,3,3,307卡口
116.07,36.61,重型栏板货车,2,2021,3,3,307卡口
116.07,36.61,小型汽车,66,2021,3,4,307卡口
116.07,36.61,大型汽车,2,2021,3,4,307卡口
116.07,36.61,小型普通客车,608,2021,3,4,307卡口
116.07,36.61,其它,217,2021,3,4,307卡口
116.07,36.61,重型栏板货车,5,2021,3,4,307卡口
116.07,36.61,小型普通客车,335,2021,3,4,307卡口
116.07,36.61,其它,122,2021,3,4,307卡口
116.07,36.61,重型栏板货车,3,2021,3,4,307卡口
116.07,36.61,小型普通客车,453,2021,3,4,307卡口
116.07,36.61,其它,214,2021,3,4,307卡口
116.07,36.61,重型栏板货车,4,2021,3,4,307卡口
116.07,36.61,小型汽车,68,2021,3,5,307卡口
116.07,36.61,大型汽车,1,2021,3,5,307卡口
116.07,36.61,小型普通客车,7,2021,3,5,307卡口
116.07,36.61,重型栏板货车,2,2021,3,5,307卡口
116.07,36.61,其它,2,2021,3,5,307卡口
116.07,36.61,小型普通客车,592,2021,3,5,307卡口
116.07,36.61,其它,196,2021,3,5,307卡口
116.07,36.61,重型栏板货车,3,2021,3,5,307卡口
116.07,36.61,小型普通客车,300,2021,3,5,307卡口
116.07,36.61,其它,114,2021,3,5,307卡口
116.07,36.61,重型栏板货车,4,2021,3,5,307卡口
116.07,36.61,小型普通客车,513,2021,3,5,307卡口
116.07,36.61,其它,225,2021,3,5,307卡口
116.07,36.61,重型栏板货车,10,2021,3,5,307卡口
116.07,36.61,其它,3,2021,3,6,307卡口
116.07,36.61,重型栏板货车,2,2021,3,6,307卡口
116.07,36.61,小型普通客车,65,2021,3,6,307卡口
116.07,36.61,其它,54,2021,3,6,307卡口
116.07,36.61,小型普通客车,159,2021,3,6,307卡口
116.07,36.61,其它,104,2021,3,6,307卡口
116.07,36.61,重型栏板货车,3,2021,3,6,307卡口
116.07,36.61,其它,340,2021,3,6,307卡口
116.07,36.61,小型普通客车,308,2021,3,6,307卡口
116.07,36.61,小型汽车,58,2021,3,7,307卡口
116.07,36.61,大型汽车,1,2021,3,7,307卡口
116.07,36.61,小型汽车,53,2021,3,7,307卡口
116.07,36.61,大型汽车,1,2021,3,7,307卡口
116.07,36.61,小型普通客车,3,2021,3,7,307卡口
116.07,36.61,其它,2,2021,3,7,307卡口
116.07,36.61,重型栏板货车,1,2021,3,7,307卡口
116.07,36.61,小型普通客车,291,2021,3,7,307卡口
116.07,36.61,其它,178,2021,3,7,307卡口
116.07,36.61,重型栏板货车,3,2021,3,7,307卡口
116.07,36.61,小型普通客车,322,2021,3,7,307卡口
116.07,36.61,其它,149,2021,3,7,307卡口
116.07,36.61,重型栏板货车,8,2021,3,7,307卡口
116.07,36.61,小型普通客车,389,2021,3,7,307卡口
116.07,36.61,其它,147,2021,3,7,307卡口
116.07,36.61,重型栏板货车,2,2021,3,7,307卡口
116.07,36.61,小型汽车,63,2021,3,8,307卡口
116.07,36.61,大型汽车,2,2021,3,8,307卡口
116.07,36.61,小型汽车,62,2021,3,8,307卡口
116.07,36.61,大型汽车,1,2021,3,8,307卡口
116.07,36.61,小型普通客车,5,2021,3,8,307卡口
116.07,36.61,其它,3,2021,3,8,307卡口
116.07,36.61,重型栏板货车,2,2021,3,8,307卡口
116.07,36.61,小型普通客车,625,2021,3,8,307卡口
116.07,36.61,其它,280,2021,3,8,307卡口
116.07,36.61,重型栏板货车,7,2021,3,8,307卡口
116.07,36.61,小型普通客车,334,2021,3,8,307卡口
