jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.03,36.96,小型普通客车,362,2021,3,1,275卡口
116.03,36.96,重型栏板货车,5,2021,3,1,275卡口
116.03,36.96,其它,5,2021,3,1,275卡口
116.03,36.96,小型普通客车,115,2021,3,1,275卡口
116.03,36.96,重型栏板货车,1,2021,3,1,275卡口
116.03,36.96,小型普通客车,150,2021,3,1,275卡口
116.03,36.96,重型栏板货车,3,2021,3,1,275卡口
116.03,36.96,其它,2,2021,3,1,275卡口
116.03,36.96,小型汽车,38,2021,3,2,275卡口
116.03,36.96,大型汽车,1,2021,3,2,275卡口
116.03,36.96,小型普通客车,316,2021,3,2,275卡口
116.03,36.96,其它,7,2021,3,2,275卡口
116.03,36.96,重型栏板货车,6,2021,3,2,275卡口
116.03,36.96,小型普通客车,117,2021,3,2,275卡口
116.03,36.96,重型栏板货车,5,2021,3,2,275卡口
116.03,36.96,小型普通客车,140,2021,3,2,275卡口
116.03,36.96,重型栏板货车,5,2021,3,2,275卡口
116.03,36.96,其它,3,2021,3,2,275卡口
116.03,36.96,小型普通客车,334,2021,3,3,275卡口
116.03,36.96,重型栏板货车,7,2021,3,3,275卡口
116.03,36.96,其它,3,2021,3,3,275卡口
116.03,36.96,小型普通客车,121,2021,3,3,275卡口
116.03,36.96,重型栏板货车,7,2021,3,3,275卡口
116.03,36.96,其它,1,2021,3,3,275卡口
116.03,36.96,小型普通客车,148,2021,3,3,275卡口
116.03,36.96,重型栏板货车,4,2021,3,3,275卡口
116.03,36.96,其它,2,2021,3,3,275卡口
116.03,36.96,小型汽车,19,2021,3,4,275卡口
116.03,36.96,大型汽车,2,2021,3,4,275卡口
116.03,36.96,小型普通客车,306,2021,3,4,275卡口
116.03,36.96,其它,12,2021,3,4,275卡口
116.03,36.96,重型栏板货车,7,2021,3,4,275卡口
116.03,36.96,小型普通客车,113,2021,3,4,275卡口
116.03,36.96,其它,2,2021,3,4,275卡口
116.03,36.96,重型栏板货车,1,2021,3,4,275卡口
116.03,36.96,小型普通客车,138,2021,3,4,275卡口
116.03,36.96,重型栏板货车,4,2021,3,4,275卡口
116.03,36.96,其它,1,2021,3,4,275卡口
116.03,36.96,小型普通客车,298,2021,3,5,275卡口
116.03,36.96,重型栏板货车,5,2021,3,5,275卡口
116.03,36.96,其它,3,2021,3,5,275卡口
116.03,36.96,小型普通客车,104,2021,3,5,275卡口
116.03,36.96,重型栏板货车,1,2021,3,5,275卡口
116.03,36.96,小型汽车,13,2021,3,6,275卡口
116.03,36.96,大型汽车,1,2021,3,6,275卡口
116.03,36.96,小型汽车,14,2021,3,6,275卡口
116.03,36.96,大型汽车,2,2021,3,6,275卡口
116.03,36.96,小型普通客车,138,2021,3,6,275卡口
116.03,36.96,重型栏板货车,2,2021,3,6,275卡口
116.03,36.96,小型普通客车,128,2021,3,6,275卡口
116.03,36.96,重型栏板货车,1,2021,3,6,275卡口
116.03,36.96,小型普通客车,104,2021,3,7,275卡口
116.03,36.96,重型栏板货车,3,2021,3,7,275卡口
116.03,36.96,其它,2,2021,3,7,275卡口
116.03,36.96,小型普通客车,120,2021,3,7,275卡口
116.03,36.96,其它,2,2021,3,7,275卡口
116.03,36.96,重型栏板货车,1,2021,3,7,275卡口
116.03,36.96,小型普通客车,99,2021,3,7,275卡口
116.03,36.96,其它,2,2021,3,7,275卡口
116.03,36.96,小型汽车,21,2021,3,8,275卡口
116.03,36.96,大型汽车,1,2021,3,8,275卡口
116.03,36.96,小型普通客车,336,2021,3,8,275卡口
116.03,36.96,重型栏板货车,8,2021,3,8,275卡口
116.03,36.96,其它,5,2021,3,8,275卡口
116.03,36.96,小型普通客车,126,2021,3,8,275卡口
116.03,36.96,重型栏板货车,3,2021,3,8,275卡口
116.03,36.96,其它,1,2021,3,8,275卡口
116.03,36.96,小型普通客车,115,2021,3,8,275卡口
116.03,36.96,其它,6,2021,3,8,275卡口
116.03,36.96,重型栏板货车,2,2021,3,8,275卡口
116.03,36.96,小型汽车,11,2021,3,9,275卡口
116.03,36.96,大型汽车,1,2021,3,9,275卡口
116.03,36.96,小型普通客车,297,2021,3,9,275卡口
116.03,36.96,重型栏板货车,5,2021,3,9,275卡口
116.03,36.96,其它,5,2021,3,9,275卡口
116.03,36.96,小型普通客车,106,2021,3,9,275卡口
116.03,36.96,重型栏板货车,3,2021,3,9,275卡口
116.03,36.96,小型普通客车,150,2021,3,9,275卡口
