jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.87,36.34,小型汽车,132,2021,4,22,92卡口
115.87,36.34,大型汽车,3,2021,4,22,92卡口
115.87,36.34,小型汽车,95,2021,4,22,92卡口
115.87,36.34,大型汽车,3,2021,4,22,92卡口
115.87,36.34,小型汽车,87,2021,4,22,92卡口
115.87,36.34,大型汽车,6,2021,4,22,92卡口
115.87,36.34,小型普通客车,10,2021,4,22,92卡口
115.87,36.34,重型栏板货车,1,2021,4,22,92卡口
115.87,36.34,小型普通客车,1745,2021,4,22,92卡口
115.87,36.34,重型栏板货车,33,2021,4,22,92卡口
115.87,36.34,小型普通客车,695,2021,4,22,92卡口
115.87,36.34,重型栏板货车,45,2021,4,22,92卡口
115.87,36.34,小型普通客车,540,2021,4,22,92卡口
115.87,36.34,重型栏板货车,41,2021,4,22,92卡口
115.87,36.34,小型汽车,142,2021,4,23,92卡口
115.87,36.34,大型汽车,3,2021,4,23,92卡口
115.87,36.34,小型汽车,89,2021,4,23,92卡口
115.87,36.34,大型汽车,4,2021,4,23,92卡口
115.87,36.34,小型汽车,82,2021,4,23,92卡口
115.87,36.34,大型汽车,2,2021,4,23,92卡口
115.87,36.34,小型普通客车,26,2021,4,23,92卡口
115.87,36.34,重型栏板货车,2,2021,4,23,92卡口
115.87,36.34,小型普通客车,1443,2021,4,23,92卡口
115.87,36.34,重型栏板货车,36,2021,4,23,92卡口
115.87,36.34,其它,1,2021,4,23,92卡口
115.87,36.34,小型普通客车,650,2021,4,23,92卡口
115.87,36.34,重型栏板货车,60,2021,4,23,92卡口
115.87,36.34,小型普通客车,561,2021,4,23,92卡口
115.87,36.34,重型栏板货车,52,2021,4,23,92卡口
115.87,36.34,小型汽车,105,2021,4,24,92卡口
115.87,36.34,大型汽车,1,2021,4,24,92卡口
115.87,36.34,小型汽车,98,2021,4,24,92卡口
115.87,36.34,大型汽车,2,2021,4,24,92卡口
115.87,36.34,小型汽车,88,2021,4,24,92卡口
115.87,36.34,大型汽车,2,2021,4,24,92卡口
115.87,36.34,小型普通客车,1175,2021,4,24,92卡口
115.87,36.34,重型栏板货车,43,2021,4,24,92卡口
115.87,36.34,小型普通客车,724,2021,4,24,92卡口
115.87,36.34,重型栏板货车,45,2021,4,24,92卡口
115.87,36.34,小型普通客车,546,2021,4,24,92卡口
115.87,36.34,重型栏板货车,42,2021,4,24,92卡口
115.87,36.34,小型汽车,137,2021,4,25,92卡口
115.87,36.34,大型汽车,3,2021,4,25,92卡口
115.87,36.34,小型汽车,77,2021,4,25,92卡口
115.87,36.34,大型汽车,1,2021,4,25,92卡口
115.87,36.34,小型汽车,66,2021,4,25,92卡口
115.87,36.34,大型汽车,1,2021,4,25,92卡口
115.87,36.34,小型普通客车,1233,2021,4,25,92卡口
115.87,36.34,重型栏板货车,38,2021,4,25,92卡口
115.87,36.34,小型普通客车,649,2021,4,25,92卡口
115.87,36.34,重型栏板货车,50,2021,4,25,92卡口
115.87,36.34,小型普通客车,569,2021,4,25,92卡口
115.87,36.34,重型栏板货车,49,2021,4,25,92卡口
115.87,36.34,小型汽车,150,2021,4,26,92卡口
115.87,36.34,大型汽车,5,2021,4,26,92卡口
115.87,36.34,小型汽车,103,2021,4,26,92卡口
115.87,36.34,大型汽车,1,2021,4,26,92卡口
115.87,36.34,小型汽车,82,2021,4,26,92卡口
115.87,36.34,大型汽车,2,2021,4,26,92卡口
115.87,36.34,小型普通客车,1720,2021,4,26,92卡口
115.87,36.34,重型栏板货车,37,2021,4,26,92卡口
115.87,36.34,小型普通客车,663,2021,4,26,92卡口
115.87,36.34,重型栏板货车,54,2021,4,26,92卡口
115.87,36.34,小型普通客车,586,2021,4,26,92卡口
115.87,36.34,重型栏板货车,42,2021,4,26,92卡口
115.87,36.34,小型汽车,104,2021,4,27,92卡口
115.87,36.34,大型汽车,2,2021,4,27,92卡口
115.87,36.34,小型汽车,91,2021,4,27,92卡口
115.87,36.34,大型汽车,1,2021,4,27,92卡口
115.87,36.34,小型汽车,73,2021,4,27,92卡口
115.87,36.34,大型汽车,2,2021,4,27,92卡口
115.87,36.34,小型普通客车,944,2021,4,27,92卡口
115.87,36.34,重型栏板货车,23,2021,4,27,92卡口
115.87,36.34,小型普通客车,675,2021,4,27,92卡口
115.87,36.34,重型栏板货车,47,2021,4,27,92卡口
115.87,36.34,小型普通客车,555,2021,4,27,92卡口
115.87,36.34,重型栏板货车,61,2021,4,27,92卡口
115.87,36.34,小型汽车,104,2021,4,28,92卡口
115.87,36.34,大型汽车,1,2021,4,28,92卡口
115.87,36.34,小型汽车,93,2021,4,28,92卡口
115.87,36.34,大型汽车,1,2021,4,28,92卡口
115.87,36.34,小型普通客车,25,2021,4,28,92卡口
115.87,36.34,重型栏板货车,1,2021,4,28,92卡口
115.87,36.34,小型普通客车,969,2021,4,28,92卡口
115.87,36.34,重型栏板货车,23,2021,4,28,92卡口
115.87,36.34,小型普通客车,683,2021,4,28,92卡口
115.87,36.34,重型栏板货车,47,2021,4,28,92卡口
115.87,36.34,小型普通客车,562,2021,4,28,92卡口
115.87,36.34,重型栏板货车,49,2021,4,28,92卡口
115.87,36.34,小型汽车,137,2021,4,29,92卡口
115.87,36.34,大型汽车,4,2021,4,29,92卡口
115.87,36.34,小型汽车,96,2021,4,29,92卡口
115.87,36.34,大型汽车,1,2021,4,29,92卡口
115.87,36.34,小型汽车,84,2021,4,29,92卡口
115.87,36.34,大型汽车,2,2021,4,29,92卡口
115.87,36.34,小型普通客车,25,2021,4,29,92卡口
115.87,36.34,重型栏板货车,2,2021,4,29,92卡口
115.87,36.34,小型普通客车,1501,2021,4,29,92卡口
115.87,36.34,重型栏板货车,42,2021,4,29,92卡口
115.87,36.34,小型普通客车,668,2021,4,29,92卡口
115.87,36.34,重型栏板货车,46,2021,4,29,92卡口
115.87,36.34,小型普通客车,503,2021,4,29,92卡口
115.87,36.34,重型栏板货车,51,2021,4,29,92卡口
115.87,36.34,大型汽车,8,2021,4,30,92卡口
115.87,36.34,小型汽车,2,2021,4,30,92卡口
115.87,36.34,小型汽车,122,2021,4,30,92卡口
115.87,36.34,大型汽车,4,2021,4,30,92卡口
115.87,36.34,小型汽车,100,2021,4,30,92卡口
115.87,36.34,大型汽车,5,2021,4,30,92卡口
115.87,36.34,小型汽车,107,2021,4,30,92卡口
115.87,36.34,大型汽车,9,2021,4,30,92卡口
115.87,36.34,小型普通客车,1497,2021,4,30,92卡口
115.87,36.34,重型栏板货车,36,2021,4,30,92卡口
115.87,36.34,小型普通客车,715,2021,4,30,92卡口
115.87,36.34,重型栏板货车,54,2021,4,30,92卡口
115.87,36.34,小型普通客车,664,2021,4,30,92卡口
115.87,36.34,重型栏板货车,39,2021,4,30,92卡口
115.87,36.34,小型汽车,118,2021,5,1,92卡口
115.87,36.34,大型汽车,3,2021,5,1,92卡口
115.87,36.34,小型汽车,91,2021,5,1,92卡口
115.87,36.34,大型汽车,1,2021,5,1,92卡口
115.87,36.34,小型普通客车,34,2021,5,1,92卡口
115.87,36.34,重型栏板货车,2,2021,5,1,92卡口
115.87,36.34,小型普通客车,598,2021,5,1,92卡口
115.87,36.34,重型栏板货车,15,2021,5,1,92卡口
115.87,36.34,小型普通客车,797,2021,5,1,92卡口
115.87,36.34,重型栏板货车,42,2021,5,1,92卡口
115.87,36.34,小型普通客车,579,2021,5,1,92卡口
115.87,36.34,重型栏板货车,39,2021,5,1,92卡口
115.87,36.34,小型汽车,114,2021,5,2,92卡口
115.87,36.34,大型汽车,2,2021,5,2,92卡口
115.87,36.34,小型汽车,118,2021,5,2,92卡口
115.87,36.34,大型汽车,2,2021,5,2,92卡口
115.87,36.34,小型普通客车,23,2021,5,2,92卡口
115.87,36.34,重型栏板货车,2,2021,5,2,92卡口
115.87,36.34,小型普通客车,544,2021,5,2,92卡口
115.87,36.34,重型栏板货车,16,2021,5,2,92卡口
115.87,36.34,小型普通客车,755,2021,5,2,92卡口
115.87,36.34,重型栏板货车,44,2021,5,2,92卡口
115.87,36.34,小型普通客车,519,2021,5,2,92卡口
115.87,36.34,重型栏板货车,38,2021,5,2,92卡口
115.87,36.34,小型汽车,118,2021,5,3,92卡口
115.87,36.34,大型汽车,2,2021,5,3,92卡口
115.87,36.34,小型汽车,83,2021,5,3,92卡口
115.87,36.34,大型汽车,6,2021,5,3,92卡口
115.87,36.34,小型普通客车,711,2021,5,3,92卡口
115.87,36.34,重型栏板货车,36,2021,5,3,92卡口
115.87,36.34,小型普通客车,652,2021,5,3,92卡口
115.87,36.34,重型栏板货车,42,2021,5,3,92卡口
115.87,36.34,小型普通客车,512,2021,5,3,92卡口
115.87,36.34,重型栏板货车,37,2021,5,3,92卡口
115.87,36.34,大型汽车,2,2021,5,4,92卡口
115.87,36.34,小型汽车,2,2021,5,4,92卡口
115.87,36.34,小型汽车,83,2021,5,4,92卡口
115.87,36.34,大型汽车,2,2021,5,4,92卡口
115.87,36.34,小型汽车,109,2021,5,4,92卡口
115.87,36.34,大型汽车,2,2021,5,4,92卡口
115.87,36.34,小型汽车,89,2021,5,4,92卡口
115.87,36.34,大型汽车,4,2021,5,4,92卡口
115.87,36.34,小型普通客车,1001,2021,5,4,92卡口
115.87,36.34,重型栏板货车,32,2021,5,4,92卡口
115.87,36.34,小型普通客车,636,2021,5,4,92卡口
115.87,36.34,重型栏板货车,43,2021,5,4,92卡口
115.87,36.34,小型普通客车,551,2021,5,4,92卡口
115.87,36.34,重型栏板货车,39,2021,5,4,92卡口
115.87,36.34,小型汽车,6,2021,5,5,92卡口
115.87,36.34,大型汽车,1,2021,5,5,92卡口
115.87,36.34,小型汽车,117,2021,5,5,92卡口
115.87,36.34,大型汽车,2,2021,5,5,92卡口
115.87,36.34,小型汽车,103,2021,5,5,92卡口
115.87,36.34,大型汽车,3,2021,5,5,92卡口
115.87,36.34,小型普通客车,21,2021,5,5,92卡口
115.87,36.34,重型栏板货车,3,2021,5,5,92卡口
115.87,36.34,小型普通客车,817,2021,5,5,92卡口
115.87,36.34,重型栏板货车,15,2021,5,5,92卡口
115.87,36.34,小型普通客车,698,2021,5,5,92卡口
115.87,36.34,重型栏板货车,38,2021,5,5,92卡口
115.87,36.34,小型普通客车,573,2021,5,5,92卡口
115.87,36.34,重型栏板货车,40,2021,5,5,92卡口
115.87,36.34,普通二轮摩托车,1,2021,5,5,92卡口
115.87,36.34,小型汽车,111,2021,5,6,92卡口
115.87,36.34,大型汽车,3,2021,5,6,92卡口
115.87,36.34,小型汽车,83,2021,5,6,92卡口
115.87,36.34,大型汽车,5,2021,5,6,92卡口
115.87,36.34,小型普通客车,1241,2021,5,6,92卡口
115.87,36.34,重型栏板货车,22,2021,5,6,92卡口
115.87,36.34,小型普通客车,655,2021,5,6,92卡口
115.87,36.34,重型栏板货车,58,2021,5,6,92卡口
115.87,36.34,小型普通客车,531,2021,5,6,92卡口
115.87,36.34,重型栏板货车,37,2021,5,6,92卡口
115.87,36.34,小型汽车,130,2021,5,7,92卡口
115.87,36.34,大型汽车,1,2021,5,7,92卡口
115.87,36.34,小型汽车,88,2021,5,7,92卡口
115.87,36.34,大型汽车,3,2021,5,7,92卡口
115.87,36.34,小型普通客车,1373,2021,5,7,92卡口
115.87,36.34,重型栏板货车,38,2021,5,7,92卡口
115.87,36.34,小型普通客车,613,2021,5,7,92卡口
115.87,36.34,重型栏板货车,46,2021,5,7,92卡口
115.87,36.34,普通二轮摩托车,1,2021,5,7,92卡口
115.87,36.34,小型普通客车,529,2021,5,7,92卡口
115.87,36.34,重型栏板货车,41,2021,5,7,92卡口
115.87,36.34,小型汽车,82,2021,5,8,92卡口
115.87,36.34,大型汽车,1,2021,5,8,92卡口
115.87,36.34,小型汽车,79,2021,5,8,92卡口
115.87,36.34,大型汽车,4,2021,5,8,92卡口
115.87,36.34,小型普通客车,26,2021,5,8,92卡口
115.87,36.34,重型栏板货车,2,2021,5,8,92卡口
115.87,36.34,小型普通客车,1200,2021,5,8,92卡口
115.87,36.34,重型栏板货车,26,2021,5,8,92卡口
115.87,36.34,小型普通客车,598,2021,5,8,92卡口
115.87,36.34,重型栏板货车,46,2021,5,8,92卡口
115.87,36.34,小型普通客车,609,2021,5,8,92卡口
115.87,36.34,重型栏板货车,50,2021,5,8,92卡口
115.87,36.34,小型汽车,94,2021,5,9,92卡口
115.87,36.34,大型汽车,3,2021,5,9,92卡口
115.87,36.34,小型汽车,107,2021,5,9,92卡口
115.87,36.34,大型汽车,1,2021,5,9,92卡口
115.87,36.34,小型汽车,72,2021,5,9,92卡口
115.87,36.34,大型汽车,2,2021,5,9,92卡口
115.87,36.34,小型普通客车,1073,2021,5,9,92卡口
115.87,36.34,重型栏板货车,33,2021,5,9,92卡口
115.87,36.34,小型普通客车,722,2021,5,9,92卡口
115.87,36.34,重型栏板货车,42,2021,5,9,92卡口
115.87,36.34,小型普通客车,588,2021,5,9,92卡口
115.87,36.34,重型栏板货车,47,2021,5,9,92卡口
115.87,36.34,小型汽车,145,2021,5,10,92卡口
115.87,36.34,大型汽车,2,2021,5,10,92卡口
115.87,36.34,小型汽车,97,2021,5,10,92卡口
115.87,36.34,大型汽车,3,2021,5,10,92卡口
115.87,36.34,小型汽车,97,2021,5,10,92卡口
115.87,36.34,大型汽车,7,2021,5,10,92卡口
115.87,36.34,小型普通客车,22,2021,5,10,92卡口
115.87,36.34,重型栏板货车,1,2021,5,10,92卡口
115.87,36.34,小型普通客车,1503,2021,5,10,92卡口
115.87,36.34,重型栏板货车,43,2021,5,10,92卡口
115.87,36.34,小型普通客车,643,2021,5,10,92卡口
115.87,36.34,重型栏板货车,47,2021,5,10,92卡口
115.87,36.34,小型普通客车,510,2021,5,10,92卡口
115.87,36.34,重型栏板货车,47,2021,5,10,92卡口
115.87,36.34,小型汽车,134,2021,5,11,92卡口
115.87,36.34,大型汽车,1,2021,5,11,92卡口
115.87,36.34,小型汽车,77,2021,5,11,92卡口
115.87,36.34,大型汽车,4,2021,5,11,92卡口
115.87,36.34,小型普通客车,1392,2021,5,11,92卡口
115.87,36.34,重型栏板货车,40,2021,5,11,92卡口
115.87,36.34,小型普通客车,615,2021,5,11,92卡口
115.87,36.34,重型栏板货车,49,2021,5,11,92卡口
115.87,36.34,小型普通客车,505,2021,5,11,92卡口
115.87,36.34,重型栏板货车,48,2021,5,11,92卡口
115.87,36.34,小型汽车,125,2021,5,12,92卡口
115.87,36.34,大型汽车,2,2021,5,12,92卡口
115.87,36.34,小型汽车,80,2021,5,12,92卡口
115.87,36.34,大型汽车,3,2021,5,12,92卡口
115.87,36.34,小型汽车,78,2021,5,12,92卡口
115.87,36.34,大型汽车,3,2021,5,12,92卡口
115.87,36.34,小型普通客车,1194,2021,5,12,92卡口
115.87,36.34,重型栏板货车,27,2021,5,12,92卡口
115.87,36.34,小型普通客车,636,2021,5,12,92卡口
115.87,36.34,重型栏板货车,39,2021,5,12,92卡口
115.87,36.34,小型普通客车,529,2021,5,12,92卡口
115.87,36.34,重型栏板货车,43,2021,5,12,92卡口
115.87,36.34,小型汽车,2,2021,5,13,92卡口
115.87,36.34,大型汽车,1,2021,5,13,92卡口
115.87,36.34,小型汽车,125,2021,5,13,92卡口
115.87,36.34,大型汽车,2,2021,5,13,92卡口
115.87,36.34,小型汽车,102,2021,5,13,92卡口
115.87,36.34,大型汽车,3,2021,5,13,92卡口
115.87,36.34,小型汽车,69,2021,5,13,92卡口
115.87,36.34,大型汽车,4,2021,5,13,92卡口
115.87,36.34,小型普通客车,1440,2021,5,13,92卡口
115.87,36.34,重型栏板货车,32,2021,5,13,92卡口
115.87,36.34,小型普通客车,645,2021,5,13,92卡口
115.87,36.34,重型栏板货车,47,2021,5,13,92卡口
115.87,36.34,小型普通客车,477,2021,5,13,92卡口
115.87,36.34,重型栏板货车,44,2021,5,13,92卡口
115.87,36.34,小型汽车,5,2021,5,14,92卡口
115.87,36.34,大型汽车,1,2021,5,14,92卡口
115.87,36.34,小型汽车,110,2021,5,14,92卡口
115.87,36.34,大型汽车,1,2021,5,14,92卡口
115.87,36.34,小型汽车,93,2021,5,14,92卡口
115.87,36.34,大型汽车,4,2021,5,14,92卡口
115.87,36.34,小型普通客车,1491,2021,5,14,92卡口
115.87,36.34,重型栏板货车,36,2021,5,14,92卡口
115.87,36.34,小型普通客车,651,2021,5,14,92卡口
115.87,36.34,重型栏板货车,49,2021,5,14,92卡口
115.87,36.34,小型普通客车,583,2021,5,14,92卡口
115.87,36.34,重型栏板货车,41,2021,5,14,92卡口
115.87,36.34,大型汽车,2,2021,5,15,92卡口
115.87,36.34,小型汽车,2,2021,5,15,92卡口
115.87,36.34,小型汽车,108,2021,5,15,92卡口
115.87,36.34,大型汽车,2,2021,5,15,92卡口
115.87,36.34,小型汽车,93,2021,5,15,92卡口
115.87,36.34,大型汽车,4,2021,5,15,92卡口
115.87,36.34,小型汽车,92,2021,5,15,92卡口
115.87,36.34,大型汽车,3,2021,5,15,92卡口
115.87,36.34,小型普通客车,23,2021,5,15,92卡口
115.87,36.34,重型栏板货车,3,2021,5,15,92卡口
115.87,36.34,小型普通客车,1227,2021,5,15,92卡口
115.87,36.34,重型栏板货车,36,2021,5,15,92卡口
115.87,36.34,小型普通客车,718,2021,5,15,92卡口
115.87,36.34,重型栏板货车,50,2021,5,15,92卡口
115.87,36.34,小型普通客车,566,2021,5,15,92卡口
115.87,36.34,重型栏板货车,37,2021,5,15,92卡口
115.87,36.34,小型汽车,3,2021,5,16,92卡口
115.87,36.34,大型汽车,1,2021,5,16,92卡口
115.87,36.34,小型汽车,102,2021,5,16,92卡口
115.87,36.34,大型汽车,1,2021,5,16,92卡口
115.87,36.34,小型汽车,84,2021,5,16,92卡口
115.87,36.34,大型汽车,1,2021,5,16,92卡口
115.87,36.34,小型汽车,63,2021,5,16,92卡口
115.87,36.34,大型汽车,2,2021,5,16,92卡口
115.87,36.34,小型普通客车,28,2021,5,16,92卡口
115.87,36.34,重型栏板货车,1,2021,5,16,92卡口
115.87,36.34,小型普通客车,1096,2021,5,16,92卡口
115.87,36.34,重型栏板货车,32,2021,5,16,92卡口
115.87,36.34,小型普通客车,612,2021,5,16,92卡口
115.87,36.34,重型栏板货车,43,2021,5,16,92卡口
115.87,36.34,小型普通客车,594,2021,5,16,92卡口
115.87,36.34,重型栏板货车,40,2021,5,16,92卡口
115.87,36.34,小型汽车,84,2021,5,17,92卡口
115.87,36.34,大型汽车,3,2021,5,17,92卡口
115.87,36.34,小型汽车,96,2021,5,17,92卡口
115.87,36.34,大型汽车,2,2021,5,17,92卡口
115.87,36.34,小型普通客车,22,2021,5,17,92卡口
115.87,36.34,重型栏板货车,1,2021,5,17,92卡口
115.87,36.34,小型普通客车,800,2021,5,17,92卡口
115.87,36.34,重型栏板货车,14,2021,5,17,92卡口
115.87,36.34,小型普通客车,631,2021,5,17,92卡口
115.87,36.34,重型栏板货车,44,2021,5,17,92卡口
115.87,36.34,小型普通客车,530,2021,5,17,92卡口
115.87,36.34,重型栏板货车,40,2021,5,17,92卡口
115.87,36.34,小型汽车,4,2021,5,18,92卡口
115.87,36.34,大型汽车,1,2021,5,18,92卡口
115.87,36.34,小型汽车,125,2021,5,18,92卡口
115.87,36.34,大型汽车,2,2021,5,18,92卡口
115.87,36.34,小型汽车,92,2021,5,18,92卡口
115.87,36.34,大型汽车,1,2021,5,18,92卡口
115.87,36.34,小型汽车,106,2021,5,18,92卡口
115.87,36.34,大型汽车,3,2021,5,18,92卡口
115.87,36.34,小型普通客车,23,2021,5,18,92卡口
115.87,36.34,重型栏板货车,1,2021,5,18,92卡口
115.87,36.34,小型普通客车,1391,2021,5,18,92卡口
115.87,36.34,重型栏板货车,32,2021,5,18,92卡口
115.87,36.34,小型普通客车,619,2021,5,18,92卡口
115.87,36.34,重型栏板货车,42,2021,5,18,92卡口
115.87,36.34,小型普通客车,516,2021,5,18,92卡口
115.87,36.34,重型栏板货车,50,2021,5,18,92卡口
115.87,36.34,小型汽车,98,2021,5,19,92卡口
115.87,36.34,大型汽车,5,2021,5,19,92卡口
115.87,36.34,小型汽车,89,2021,5,19,92卡口
115.87,36.34,大型汽车,1,2021,5,19,92卡口
115.87,36.34,小型普通客车,1388,2021,5,19,92卡口
115.87,36.34,重型栏板货车,41,2021,5,19,92卡口
115.87,36.34,小型普通客车,597,2021,5,19,92卡口
115.87,36.34,重型栏板货车,43,2021,5,19,92卡口
115.87,36.34,小型普通客车,516,2021,5,19,92卡口
115.87,36.34,重型栏板货车,46,2021,5,19,92卡口
115.87,36.34,小型汽车,4,2021,5,20,92卡口
115.87,36.34,大型汽车,1,2021,5,20,92卡口
115.87,36.34,小型汽车,134,2021,5,20,92卡口
115.87,36.34,大型汽车,2,2021,5,20,92卡口
115.87,36.34,小型汽车,91,2021,5,20,92卡口
115.87,36.34,大型汽车,3,2021,5,20,92卡口
115.87,36.34,小型普通客车,22,2021,5,20,92卡口
115.87,36.34,重型栏板货车,1,2021,5,20,92卡口
115.87,36.34,小型普通客车,1421,2021,5,20,92卡口
115.87,36.34,重型栏板货车,25,2021,5,20,92卡口
115.87,36.34,小型普通客车,626,2021,5,20,92卡口
115.87,36.34,重型栏板货车,54,2021,5,20,92卡口
115.87,36.34,小型普通客车,525,2021,5,20,92卡口
115.87,36.34,重型栏板货车,42,2021,5,20,92卡口
115.87,36.34,其它,1,2021,5,20,92卡口
115.87,36.34,小型汽车,146,2021,5,21,92卡口
115.87,36.34,大型汽车,2,2021,5,21,92卡口
115.87,36.34,小型汽车,94,2021,5,21,92卡口
115.87,36.34,大型汽车,1,2021,5,21,92卡口
115.87,36.34,小型汽车,96,2021,5,21,92卡口
115.87,36.34,大型汽车,8,2021,5,21,92卡口
115.87,36.34,小型普通客车,25,2021,5,21,92卡口
115.87,36.34,重型栏板货车,1,2021,5,21,92卡口
