jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.84,36.38,小型汽车,89,2021,3,1,77卡口
115.84,36.38,大型汽车,1,2021,3,1,77卡口
115.84,36.38,小型汽车,39,2021,3,1,77卡口
115.84,36.38,大型汽车,1,2021,3,1,77卡口
115.84,36.38,小型汽车,37,2021,3,1,77卡口
115.84,36.38,大型汽车,1,2021,3,1,77卡口
115.84,36.38,小型普通客车,1119,2021,3,1,77卡口
115.84,36.38,重型栏板货车,8,2021,3,1,77卡口
115.84,36.38,小型普通客车,264,2021,3,1,77卡口
115.84,36.38,重型栏板货车,7,2021,3,1,77卡口
115.84,36.38,小型普通客车,282,2021,3,1,77卡口
115.84,36.38,重型栏板货车,2,2021,3,1,77卡口
115.84,36.38,小型汽车,50,2021,3,2,77卡口
115.84,36.38,大型汽车,1,2021,3,2,77卡口
115.84,36.38,小型普通客车,1035,2021,3,2,77卡口
115.84,36.38,重型栏板货车,13,2021,3,2,77卡口
115.84,36.38,小型普通客车,320,2021,3,2,77卡口
115.84,36.38,重型栏板货车,11,2021,3,2,77卡口
115.84,36.38,小型普通客车,319,2021,3,2,77卡口
115.84,36.38,重型栏板货车,3,2021,3,2,77卡口
115.84,36.38,小型汽车,31,2021,3,3,77卡口
115.84,36.38,大型汽车,1,2021,3,3,77卡口
115.84,36.38,小型普通客车,744,2021,3,3,77卡口
115.84,36.38,重型栏板货车,10,2021,3,3,77卡口
115.84,36.38,其它,1,2021,3,3,77卡口
115.84,36.38,小型普通客车,246,2021,3,3,77卡口
115.84,36.38,重型栏板货车,13,2021,3,3,77卡口
115.84,36.38,小型普通客车,274,2021,3,3,77卡口
115.84,36.38,重型栏板货车,2,2021,3,3,77卡口
115.84,36.38,小型汽车,62,2021,3,4,77卡口
115.84,36.38,大型汽车,2,2021,3,4,77卡口
115.84,36.38,小型汽车,39,2021,3,4,77卡口
115.84,36.38,大型汽车,2,2021,3,4,77卡口
115.84,36.38,小型普通客车,699,2021,3,4,77卡口
115.84,36.38,重型栏板货车,12,2021,3,4,77卡口
115.84,36.38,其它,3,2021,3,4,77卡口
115.84,36.38,小型普通客车,249,2021,3,4,77卡口
115.84,36.38,重型栏板货车,17,2021,3,4,77卡口
115.84,36.38,小型普通客车,284,2021,3,4,77卡口
115.84,36.38,重型栏板货车,5,2021,3,4,77卡口
115.84,36.38,小型汽车,76,2021,3,5,77卡口
115.84,36.38,大型汽车,1,2021,3,5,77卡口
115.84,36.38,小型汽车,37,2021,3,5,77卡口
115.84,36.38,大型汽车,1,2021,3,5,77卡口
115.84,36.38,小型普通客车,763,2021,3,5,77卡口
115.84,36.38,重型栏板货车,11,2021,3,5,77卡口
115.84,36.38,其它,3,2021,3,5,77卡口
115.84,36.38,小型普通客车,241,2021,3,5,77卡口
115.84,36.38,重型栏板货车,8,2021,3,5,77卡口
115.84,36.38,小型普通客车,292,2021,3,5,77卡口
115.84,36.38,重型栏板货车,4,2021,3,5,77卡口
115.84,36.38,小型普通客车,531,2021,3,6,77卡口
115.84,36.38,重型栏板货车,7,2021,3,6,77卡口
115.84,36.38,其它,1,2021,3,6,77卡口
115.84,36.38,小型普通客车,265,2021,3,6,77卡口
115.84,36.38,重型栏板货车,10,2021,3,6,77卡口
115.84,36.38,小型普通客车,220,2021,3,6,77卡口
115.84,36.38,重型栏板货车,2,2021,3,6,77卡口
115.84,36.38,小型普通客车,439,2021,3,7,77卡口
115.84,36.38,重型栏板货车,8,2021,3,7,77卡口
115.84,36.38,小型普通客车,282,2021,3,7,77卡口
115.84,36.38,重型栏板货车,14,2021,3,7,77卡口
115.84,36.38,其它,2,2021,3,7,77卡口
115.84,36.38,小型普通客车,301,2021,3,7,77卡口
115.84,36.38,重型栏板货车,4,2021,3,7,77卡口
115.84,36.38,其它,2,2021,3,7,77卡口
115.84,36.38,小型汽车,67,2021,3,8,77卡口
115.84,36.38,大型汽车,2,2021,3,8,77卡口
115.84,36.38,小型汽车,43,2021,3,8,77卡口
115.84,36.38,大型汽车,2,2021,3,8,77卡口
115.84,36.38,小型普通客车,739,2021,3,8,77卡口
115.84,36.38,重型栏板货车,5,2021,3,8,77卡口
115.84,36.38,其它,3,2021,3,8,77卡口
115.84,36.38,小型普通客车,280,2021,3,8,77卡口
115.84,36.38,重型栏板货车,5,2021,3,8,77卡口
115.84,36.38,小型普通客车,275,2021,3,8,77卡口
115.84,36.38,重型栏板货车,3,2021,3,8,77卡口
115.84,36.38,小型汽车,37,2021,3,9,77卡口
115.84,36.38,大型汽车,1,2021,3,9,77卡口
115.84,36.38,小型普通客车,862,2021,3,9,77卡口
115.84,36.38,重型栏板货车,13,2021,3,9,77卡口
115.84,36.38,其它,2,2021,3,9,77卡口
115.84,36.38,小型普通客车,266,2021,3,9,77卡口
115.84,36.38,重型栏板货车,9,2021,3,9,77卡口
115.84,36.38,小型普通客车,311,2021,3,9,77卡口
115.84,36.38,重型栏板货车,5,2021,3,9,77卡口
115.84,36.38,小型汽车,75,2021,3,10,77卡口
115.84,36.38,大型汽车,2,2021,3,10,77卡口
115.84,36.38,小型普通客车,853,2021,3,10,77卡口
115.84,36.38,重型栏板货车,12,2021,3,10,77卡口
115.84,36.38,其它,3,2021,3,10,77卡口
115.84,36.38,小型普通客车,272,2021,3,10,77卡口
115.84,36.38,重型栏板货车,12,2021,3,10,77卡口
115.84,36.38,其它,1,2021,3,10,77卡口
115.84,36.38,小型普通客车,270,2021,3,10,77卡口
115.84,36.38,重型栏板货车,1,2021,3,10,77卡口
115.84,36.38,小型汽车,69,2021,3,11,77卡口
115.84,36.38,大型汽车,1,2021,3,11,77卡口
115.84,36.38,小型普通客车,2,2021,3,11,77卡口
115.84,36.38,重型栏板货车,1,2021,3,11,77卡口
115.84,36.38,小型普通客车,977,2021,3,11,77卡口
115.84,36.38,重型栏板货车,13,2021,3,11,77卡口
115.84,36.38,其它,1,2021,3,11,77卡口
115.84,36.38,小型普通客车,256,2021,3,11,77卡口
115.84,36.38,重型栏板货车,5,2021,3,11,77卡口
115.84,36.38,小型普通客车,276,2021,3,11,77卡口
115.84,36.38,重型栏板货车,2,2021,3,11,77卡口
115.84,36.38,其它,1,2021,3,11,77卡口
115.84,36.38,小型汽车,53,2021,3,12,77卡口
115.84,36.38,大型汽车,1,2021,3,12,77卡口
115.84,36.38,小型汽车,38,2021,3,12,77卡口
115.84,36.38,大型汽车,1,2021,3,12,77卡口
115.84,36.38,小型普通客车,883,2021,3,12,77卡口
115.84,36.38,重型栏板货车,11,2021,3,12,77卡口
115.84,36.38,其它,3,2021,3,12,77卡口
115.84,36.38,小型普通客车,311,2021,3,12,77卡口
115.84,36.38,重型栏板货车,14,2021,3,12,77卡口
115.84,36.38,小型普通客车,359,2021,3,12,77卡口
115.84,36.38,重型栏板货车,2,2021,3,12,77卡口
115.84,36.38,小型汽车,54,2021,3,13,77卡口
