jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.76,36.38,大型汽车,34,2021,3,1,37卡口
115.76,36.38,小型汽车,4,2021,3,1,37卡口
115.76,36.38,小型汽车,105,2021,3,1,37卡口
115.76,36.38,大型汽车,65,2021,3,1,37卡口
115.76,36.38,小型汽车,112,2021,3,1,37卡口
115.76,36.38,大型汽车,76,2021,3,1,37卡口
115.76,36.38,大型汽车,85,2021,3,1,37卡口
115.76,36.38,小型汽车,79,2021,3,1,37卡口
115.76,36.38,重型栏板货车,5,2021,3,1,37卡口
115.76,36.38,小型普通客车,5,2021,3,1,37卡口
115.76,36.38,小型普通客车,793,2021,3,1,37卡口
115.76,36.38,重型栏板货车,45,2021,3,1,37卡口
115.76,36.38,小型普通客车,438,2021,3,1,37卡口
115.76,36.38,重型栏板货车,113,2021,3,1,37卡口
115.76,36.38,小型普通客车,573,2021,3,1,37卡口
115.76,36.38,重型栏板货车,74,2021,3,1,37卡口
115.76,36.38,大型汽车,26,2021,3,2,37卡口
115.76,36.38,小型汽车,1,2021,3,2,37卡口
115.76,36.38,小型汽车,80,2021,3,2,37卡口
115.76,36.38,大型汽车,79,2021,3,2,37卡口
115.76,36.38,小型汽车,115,2021,3,2,37卡口
115.76,36.38,大型汽车,65,2021,3,2,37卡口
115.76,36.38,小型汽车,104,2021,3,2,37卡口
115.76,36.38,大型汽车,101,2021,3,2,37卡口
115.76,36.38,小型普通客车,6,2021,3,2,37卡口
115.76,36.38,重型栏板货车,1,2021,3,2,37卡口
115.76,36.38,小型普通客车,696,2021,3,2,37卡口
115.76,36.38,重型栏板货车,66,2021,3,2,37卡口
115.76,36.38,小型普通客车,469,2021,3,2,37卡口
115.76,36.38,重型栏板货车,77,2021,3,2,37卡口
115.76,36.38,小型普通客车,633,2021,3,2,37卡口
115.76,36.38,重型栏板货车,101,2021,3,2,37卡口
115.76,36.38,大型汽车,42,2021,3,3,37卡口
115.76,36.38,小型汽车,5,2021,3,3,37卡口
115.76,36.38,大型汽车,115,2021,3,3,37卡口
115.76,36.38,小型汽车,82,2021,3,3,37卡口
115.76,36.38,小型汽车,106,2021,3,3,37卡口
115.76,36.38,大型汽车,64,2021,3,3,37卡口
115.76,36.38,大型汽车,115,2021,3,3,37卡口
115.76,36.38,小型汽车,101,2021,3,3,37卡口
115.76,36.38,重型栏板货车,10,2021,3,3,37卡口
115.76,36.38,小型普通客车,6,2021,3,3,37卡口
115.76,36.38,小型普通客车,650,2021,3,3,37卡口
115.76,36.38,重型栏板货车,83,2021,3,3,37卡口
115.76,36.38,小型普通客车,391,2021,3,3,37卡口
115.76,36.38,重型栏板货车,80,2021,3,3,37卡口
115.76,36.38,小型普通客车,647,2021,3,3,37卡口
115.76,36.38,重型栏板货车,103,2021,3,3,37卡口
115.76,36.38,大型汽车,46,2021,3,4,37卡口
115.76,36.38,小型汽车,3,2021,3,4,37卡口
115.76,36.38,大型汽车,90,2021,3,4,37卡口
115.76,36.38,小型汽车,83,2021,3,4,37卡口
115.76,36.38,大型汽车,94,2021,3,4,37卡口
115.76,36.38,小型汽车,90,2021,3,4,37卡口
115.76,36.38,大型汽车,105,2021,3,4,37卡口
115.76,36.38,小型汽车,81,2021,3,4,37卡口
115.76,36.38,重型栏板货车,10,2021,3,4,37卡口
115.76,36.38,小型普通客车,2,2021,3,4,37卡口
115.76,36.38,小型普通客车,658,2021,3,4,37卡口
115.76,36.38,重型栏板货车,75,2021,3,4,37卡口
115.76,36.38,小型普通客车,405,2021,3,4,37卡口
115.76,36.38,重型栏板货车,79,2021,3,4,37卡口
115.76,36.38,小型普通客车,603,2021,3,4,37卡口
115.76,36.38,重型栏板货车,110,2021,3,4,37卡口
115.76,36.38,大型汽车,57,2021,3,5,37卡口
115.76,36.38,小型汽车,6,2021,3,5,37卡口
115.76,36.38,大型汽车,108,2021,3,5,37卡口
115.76,36.38,小型汽车,93,2021,3,5,37卡口
115.76,36.38,大型汽车,117,2021,3,5,37卡口
115.76,36.38,小型汽车,97,2021,3,5,37卡口
115.76,36.38,小型汽车,120,2021,3,5,37卡口
115.76,36.38,大型汽车,112,2021,3,5,37卡口
115.76,36.38,重型栏板货车,14,2021,3,5,37卡口
115.76,36.38,小型普通客车,6,2021,3,5,37卡口
115.76,36.38,小型普通客车,668,2021,3,5,37卡口
115.76,36.38,重型栏板货车,86,2021,3,5,37卡口
115.76,36.38,小型普通客车,428,2021,3,5,37卡口
115.76,36.38,重型栏板货车,109,2021,3,5,37卡口
115.76,36.38,小型普通客车,689,2021,3,5,37卡口
115.76,36.38,重型栏板货车,100,2021,3,5,37卡口
115.76,36.38,大型汽车,39,2021,3,6,37卡口
115.76,36.38,小型汽车,1,2021,3,6,37卡口
115.76,36.38,大型汽车,79,2021,3,6,37卡口
115.76,36.38,小型汽车,71,2021,3,6,37卡口
115.76,36.38,大型汽车,125,2021,3,6,37卡口
115.76,36.38,小型汽车,97,2021,3,6,37卡口
115.76,36.38,大型汽车,114,2021,3,6,37卡口
115.76,36.38,小型汽车,83,2021,3,6,37卡口
115.76,36.38,重型栏板货车,10,2021,3,6,37卡口
115.76,36.38,小型普通客车,8,2021,3,6,37卡口
115.76,36.38,小型普通客车,543,2021,3,6,37卡口
115.76,36.38,重型栏板货车,75,2021,3,6,37卡口
115.76,36.38,小型普通客车,388,2021,3,6,37卡口
115.76,36.38,重型栏板货车,119,2021,3,6,37卡口
115.76,36.38,小型普通客车,461,2021,3,6,37卡口
115.76,36.38,重型栏板货车,71,2021,3,6,37卡口
115.76,36.38,大型汽车,49,2021,3,7,37卡口
115.76,36.38,小型汽车,7,2021,3,7,37卡口
115.76,36.38,大型汽车,88,2021,3,7,37卡口
115.76,36.38,小型汽车,59,2021,3,7,37卡口
115.76,36.38,大型汽车,100,2021,3,7,37卡口
115.76,36.38,小型汽车,86,2021,3,7,37卡口
115.76,36.38,大型汽车,107,2021,3,7,37卡口
115.76,36.38,小型汽车,96,2021,3,7,37卡口
115.76,36.38,重型栏板货车,12,2021,3,7,37卡口
115.76,36.38,小型普通客车,11,2021,3,7,37卡口
115.76,36.38,小型普通客车,479,2021,3,7,37卡口
115.76,36.38,重型栏板货车,67,2021,3,7,37卡口
115.76,36.38,小型普通客车,397,2021,3,7,37卡口
115.76,36.38,重型栏板货车,93,2021,3,7,37卡口
115.76,36.38,小型普通客车,529,2021,3,7,37卡口
115.76,36.38,重型栏板货车,93,2021,3,7,37卡口
115.76,36.38,大型汽车,36,2021,3,8,37卡口
115.76,36.38,小型汽车,6,2021,3,8,37卡口
115.76,36.38,小型汽车,102,2021,3,8,37卡口
115.76,36.38,大型汽车,101,2021,3,8,37卡口
115.76,36.38,小型汽车,97,2021,3,8,37卡口
115.76,36.38,大型汽车,92,2021,3,8,37卡口
115.76,36.38,大型汽车,119,2021,3,8,37卡口
115.76,36.38,小型汽车,78,2021,3,8,37卡口
115.76,36.38,重型栏板货车,7,2021,3,8,37卡口
115.76,36.38,小型普通客车,1,2021,3,8,37卡口
115.76,36.38,小型普通客车,807,2021,3,8,37卡口
115.76,36.38,重型栏板货车,61,2021,3,8,37卡口
115.76,36.38,小型普通客车,402,2021,3,8,37卡口
115.76,36.38,重型栏板货车,98,2021,3,8,37卡口
115.76,36.38,小型普通客车,616,2021,3,8,37卡口
115.76,36.38,重型栏板货车,105,2021,3,8,37卡口
115.76,36.38,大型汽车,45,2021,3,9,37卡口
115.76,36.38,小型汽车,3,2021,3,9,37卡口
