jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.89,36.59,大型汽车,57,2021,3,1,114卡口
115.89,36.59,小型汽车,49,2021,3,1,114卡口
115.89,36.59,大型汽车,68,2021,3,1,114卡口
115.89,36.59,小型汽车,51,2021,3,1,114卡口
115.89,36.59,大型汽车,68,2021,3,1,114卡口
115.89,36.59,小型汽车,44,2021,3,1,114卡口
115.89,36.59,重型栏板货车,19,2021,3,1,114卡口
115.89,36.59,小型普通客车,7,2021,3,1,114卡口
115.89,36.59,小型普通客车,537,2021,3,1,114卡口
115.89,36.59,重型栏板货车,114,2021,3,1,114卡口
115.89,36.59,小型普通客车,334,2021,3,1,114卡口
115.89,36.59,重型栏板货车,120,2021,3,1,114卡口
115.89,36.59,小型普通客车,398,2021,3,1,114卡口
115.89,36.59,重型栏板货车,128,2021,3,1,114卡口
115.89,36.59,大型汽车,57,2021,3,2,114卡口
115.89,36.59,小型汽车,6,2021,3,2,114卡口
115.89,36.59,大型汽车,77,2021,3,2,114卡口
115.89,36.59,小型汽车,55,2021,3,2,114卡口
115.89,36.59,大型汽车,65,2021,3,2,114卡口
115.89,36.59,小型汽车,56,2021,3,2,114卡口
115.89,36.59,大型汽车,89,2021,3,2,114卡口
115.89,36.59,小型汽车,45,2021,3,2,114卡口
115.89,36.59,重型栏板货车,38,2021,3,2,114卡口
115.89,36.59,小型普通客车,8,2021,3,2,114卡口
115.89,36.59,小型普通客车,535,2021,3,2,114卡口
115.89,36.59,重型栏板货车,133,2021,3,2,114卡口
115.89,36.59,小型普通客车,369,2021,3,2,114卡口
115.89,36.59,重型栏板货车,152,2021,3,2,114卡口
115.89,36.59,小型普通客车,516,2021,3,2,114卡口
115.89,36.59,重型栏板货车,155,2021,3,2,114卡口
115.89,36.59,大型汽车,66,2021,3,3,114卡口
115.89,36.59,小型汽车,3,2021,3,3,114卡口
115.89,36.59,大型汽车,74,2021,3,3,114卡口
115.89,36.59,小型汽车,53,2021,3,3,114卡口
115.89,36.59,大型汽车,87,2021,3,3,114卡口
115.89,36.59,小型汽车,74,2021,3,3,114卡口
115.89,36.59,大型汽车,90,2021,3,3,114卡口
115.89,36.59,小型汽车,42,2021,3,3,114卡口
115.89,36.59,重型栏板货车,50,2021,3,3,114卡口
115.89,36.59,小型普通客车,9,2021,3,3,114卡口
115.89,36.59,小型普通客车,571,2021,3,3,114卡口
115.89,36.59,重型栏板货车,126,2021,3,3,114卡口
115.89,36.59,小型普通客车,387,2021,3,3,114卡口
115.89,36.59,重型栏板货车,157,2021,3,3,114卡口
115.89,36.59,小型普通客车,486,2021,3,3,114卡口
115.89,36.59,重型栏板货车,165,2021,3,3,114卡口
115.89,36.59,大型汽车,68,2021,3,4,114卡口
115.89,36.59,小型汽车,1,2021,3,4,114卡口
115.89,36.59,大型汽车,67,2021,3,4,114卡口
115.89,36.59,小型汽车,45,2021,3,4,114卡口
115.89,36.59,大型汽车,83,2021,3,4,114卡口
115.89,36.59,小型汽车,68,2021,3,4,114卡口
115.89,36.59,大型汽车,86,2021,3,4,114卡口
115.89,36.59,小型汽车,51,2021,3,4,114卡口
115.89,36.59,重型栏板货车,53,2021,3,4,114卡口
115.89,36.59,小型普通客车,9,2021,3,4,114卡口
115.89,36.59,小型普通客车,562,2021,3,4,114卡口
115.89,36.59,重型栏板货车,164,2021,3,4,114卡口
115.89,36.59,小型普通客车,358,2021,3,4,114卡口
115.89,36.59,重型栏板货车,166,2021,3,4,114卡口
115.89,36.59,小型普通客车,505,2021,3,4,114卡口
115.89,36.59,重型栏板货车,169,2021,3,4,114卡口
115.89,36.59,大型汽车,77,2021,3,5,114卡口
115.89,36.59,小型汽车,1,2021,3,5,114卡口
115.89,36.59,大型汽车,61,2021,3,5,114卡口
115.89,36.59,小型汽车,48,2021,3,5,114卡口
115.89,36.59,大型汽车,90,2021,3,5,114卡口
115.89,36.59,小型汽车,63,2021,3,5,114卡口
115.89,36.59,大型汽车,95,2021,3,5,114卡口
115.89,36.59,小型汽车,54,2021,3,5,114卡口
115.89,36.59,重型栏板货车,51,2021,3,5,114卡口
115.89,36.59,小型普通客车,7,2021,3,5,114卡口
115.89,36.59,小型普通客车,557,2021,3,5,114卡口
115.89,36.59,重型栏板货车,158,2021,3,5,114卡口
115.89,36.59,小型普通客车,336,2021,3,5,114卡口
115.89,36.59,重型栏板货车,168,2021,3,5,114卡口
115.89,36.59,小型普通客车,525,2021,3,5,114卡口
