jd,wd,车辆类型,过车数量,年,月,日,卡口名称
115.69,36.43,大型汽车,20,2021,3,1,15卡口
115.69,36.43,小型汽车,5,2021,3,1,15卡口
115.69,36.43,小型汽车,83,2021,3,1,15卡口
115.69,36.43,大型汽车,54,2021,3,1,15卡口
115.69,36.43,大型汽车,81,2021,3,1,15卡口
115.69,36.43,小型汽车,74,2021,3,1,15卡口
115.69,36.43,小型汽车,91,2021,3,1,15卡口
115.69,36.43,大型汽车,57,2021,3,1,15卡口
115.69,36.43,重型栏板货车,13,2021,3,1,15卡口
115.69,36.43,小型普通客车,7,2021,3,1,15卡口
115.69,36.43,小型普通客车,541,2021,3,1,15卡口
115.69,36.43,重型栏板货车,102,2021,3,1,15卡口
115.69,36.43,其它,11,2021,3,1,15卡口
115.69,36.43,小型普通客车,368,2021,3,1,15卡口
115.69,36.43,重型栏板货车,214,2021,3,1,15卡口
115.69,36.43,其它,12,2021,3,1,15卡口
115.69,36.43,小型普通客车,436,2021,3,1,15卡口
115.69,36.43,重型栏板货车,129,2021,3,1,15卡口
115.69,36.43,其它,24,2021,3,1,15卡口
115.69,36.43,普通二轮摩托车,1,2021,3,1,15卡口
115.69,36.43,大型汽车,28,2021,3,2,15卡口
115.69,36.43,小型汽车,2,2021,3,2,15卡口
115.69,36.43,小型汽车,94,2021,3,2,15卡口
115.69,36.43,大型汽车,59,2021,3,2,15卡口
115.69,36.43,大型汽车,90,2021,3,2,15卡口
115.69,36.43,小型汽车,88,2021,3,2,15卡口
115.69,36.43,小型汽车,106,2021,3,2,15卡口
115.69,36.43,大型汽车,80,2021,3,2,15卡口
115.69,36.43,重型栏板货车,14,2021,3,2,15卡口
115.69,36.43,小型普通客车,1,2021,3,2,15卡口
115.69,36.43,其它,1,2021,3,2,15卡口
115.69,36.43,小型普通客车,491,2021,3,2,15卡口
115.69,36.43,重型栏板货车,137,2021,3,2,15卡口
115.69,36.43,其它,18,2021,3,2,15卡口
115.69,36.43,小型普通客车,399,2021,3,2,15卡口
115.69,36.43,重型栏板货车,245,2021,3,2,15卡口
115.69,36.43,其它,17,2021,3,2,15卡口
115.69,36.43,小型普通客车,481,2021,3,2,15卡口
115.69,36.43,重型栏板货车,189,2021,3,2,15卡口
115.69,36.43,其它,22,2021,3,2,15卡口
115.69,36.43,微型栏板货车,1,2021,3,2,15卡口
115.69,36.43,大型汽车,28,2021,3,3,15卡口
115.69,36.43,小型汽车,4,2021,3,3,15卡口
115.69,36.43,大型汽车,78,2021,3,3,15卡口
115.69,36.43,小型汽车,74,2021,3,3,15卡口
115.69,36.43,大型汽车,139,2021,3,3,15卡口
115.69,36.43,小型汽车,83,2021,3,3,15卡口
115.69,36.43,小型汽车,84,2021,3,3,15卡口
115.69,36.43,大型汽车,78,2021,3,3,15卡口
115.69,36.43,重型栏板货车,19,2021,3,3,15卡口
115.69,36.43,小型普通客车,6,2021,3,3,15卡口
115.69,36.43,小型普通客车,496,2021,3,3,15卡口
115.69,36.43,重型栏板货车,151,2021,3,3,15卡口
115.69,36.43,其它,15,2021,3,3,15卡口
115.69,36.43,小型普通客车,383,2021,3,3,15卡口
115.69,36.43,重型栏板货车,222,2021,3,3,15卡口
115.69,36.43,其它,10,2021,3,3,15卡口
115.69,36.43,小型普通客车,426,2021,3,3,15卡口
115.69,36.43,重型栏板货车,146,2021,3,3,15卡口
115.69,36.43,其它,30,2021,3,3,15卡口
115.69,36.43,微型栏板货车,1,2021,3,3,15卡口
115.69,36.43,大型汽车,28,2021,3,4,15卡口
115.69,36.43,小型汽车,4,2021,3,4,15卡口
115.69,36.43,大型汽车,83,2021,3,4,15卡口
115.69,36.43,小型汽车,68,2021,3,4,15卡口
115.69,36.43,大型汽车,120,2021,3,4,15卡口
115.69,36.43,小型汽车,101,2021,3,4,15卡口
115.69,36.43,小型汽车,115,2021,3,4,15卡口
115.69,36.43,大型汽车,72,2021,3,4,15卡口
115.69,36.43,重型栏板货车,19,2021,3,4,15卡口
115.69,36.43,小型普通客车,8,2021,3,4,15卡口
115.69,36.43,其它,1,2021,3,4,15卡口
115.69,36.43,小型普通客车,460,2021,3,4,15卡口
115.69,36.43,重型栏板货车,144,2021,3,4,15卡口
115.69,36.43,其它,14,2021,3,4,15卡口
115.69,36.43,普通二轮摩托车,1,2021,3,4,15卡口
115.69,36.43,小型普通客车,376,2021,3,4,15卡口
115.69,36.43,重型栏板货车,261,2021,3,4,15卡口
115.69,36.43,其它,15,2021,3,4,15卡口
115.69,36.43,小型普通客车,487,2021,3,4,15卡口
115.69,36.43,重型栏板货车,170,2021,3,4,15卡口
115.69,36.43,其它,27,2021,3,4,15卡口
115.69,36.43,微型栏板货车,1,2021,3,4,15卡口
115.69,36.43,大型汽车,22,2021,3,5,15卡口
115.69,36.43,小型汽车,9,2021,3,5,15卡口
115.69,36.43,大型汽车,87,2021,3,5,15卡口
115.69,36.43,小型汽车,75,2021,3,5,15卡口
