jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.04,36.29,大型汽车,1,2021,3,1,278卡口
116.04,36.29,小型汽车,1,2021,3,1,278卡口
116.04,36.29,小型汽车,109,2021,3,1,278卡口
116.04,36.29,大型汽车,2,2021,3,1,278卡口
116.04,36.29,小型汽车,69,2021,3,1,278卡口
116.04,36.29,大型汽车,1,2021,3,1,278卡口
116.04,36.29,小型汽车,69,2021,3,1,278卡口
116.04,36.29,大型汽车,3,2021,3,1,278卡口
116.04,36.29,小型普通客车,14,2021,3,1,278卡口
116.04,36.29,重型栏板货车,1,2021,3,1,278卡口
116.04,36.29,小型普通客车,1698,2021,3,1,278卡口
116.04,36.29,重型栏板货车,56,2021,3,1,278卡口
116.04,36.29,小型普通客车,575,2021,3,1,278卡口
116.04,36.29,重型栏板货车,52,2021,3,1,278卡口
116.04,36.29,小型普通客车,539,2021,3,1,278卡口
116.04,36.29,重型栏板货车,45,2021,3,1,278卡口
116.04,36.29,小型汽车,122,2021,3,2,278卡口
116.04,36.29,大型汽车,2,2021,3,2,278卡口
116.04,36.29,小型汽车,80,2021,3,2,278卡口
116.04,36.29,大型汽车,2,2021,3,2,278卡口
116.04,36.29,小型汽车,74,2021,3,2,278卡口
116.04,36.29,大型汽车,2,2021,3,2,278卡口
116.04,36.29,小型普通客车,1576,2021,3,2,278卡口
116.04,36.29,重型栏板货车,55,2021,3,2,278卡口
116.04,36.29,小型普通客车,599,2021,3,2,278卡口
116.04,36.29,重型栏板货车,52,2021,3,2,278卡口
116.04,36.29,小型普通客车,538,2021,3,2,278卡口
116.04,36.29,重型栏板货车,50,2021,3,2,278卡口
116.04,36.29,小型汽车,123,2021,3,3,278卡口
116.04,36.29,大型汽车,4,2021,3,3,278卡口
116.04,36.29,小型汽车,68,2021,3,3,278卡口
116.04,36.29,大型汽车,2,2021,3,3,278卡口
116.04,36.29,小型汽车,72,2021,3,3,278卡口
116.04,36.29,大型汽车,1,2021,3,3,278卡口
116.04,36.29,小型普通客车,18,2021,3,3,278卡口
116.04,36.29,重型栏板货车,1,2021,3,3,278卡口
116.04,36.29,小型普通客车,1615,2021,3,3,278卡口
116.04,36.29,重型栏板货车,58,2021,3,3,278卡口
116.04,36.29,小型普通客车,624,2021,3,3,278卡口
116.04,36.29,重型栏板货车,49,2021,3,3,278卡口
116.04,36.29,小型普通客车,538,2021,3,3,278卡口
116.04,36.29,重型栏板货车,59,2021,3,3,278卡口
116.04,36.29,小型汽车,120,2021,3,4,278卡口
116.04,36.29,大型汽车,4,2021,3,4,278卡口
116.04,36.29,小型汽车,86,2021,3,4,278卡口
116.04,36.29,大型汽车,4,2021,3,4,278卡口
116.04,36.29,小型汽车,83,2021,3,4,278卡口
116.04,36.29,大型汽车,4,2021,3,4,278卡口
116.04,36.29,小型普通客车,17,2021,3,4,278卡口
116.04,36.29,重型栏板货车,3,2021,3,4,278卡口
116.04,36.29,小型普通客车,1531,2021,3,4,278卡口
116.04,36.29,重型栏板货车,53,2021,3,4,278卡口
116.04,36.29,小型普通客车,619,2021,3,4,278卡口
116.04,36.29,重型栏板货车,50,2021,3,4,278卡口
116.04,36.29,小型普通客车,532,2021,3,4,278卡口
116.04,36.29,重型栏板货车,43,2021,3,4,278卡口
116.04,36.29,小型汽车,104,2021,3,5,278卡口
116.04,36.29,大型汽车,3,2021,3,5,278卡口
116.04,36.29,小型汽车,91,2021,3,5,278卡口
116.04,36.29,大型汽车,6,2021,3,5,278卡口
116.04,36.29,小型汽车,86,2021,3,5,278卡口
116.04,36.29,大型汽车,4,2021,3,5,278卡口
116.04,36.29,小型普通客车,19,2021,3,5,278卡口
116.04,36.29,重型栏板货车,1,2021,3,5,278卡口
116.04,36.29,小型普通客车,1609,2021,3,5,278卡口
116.04,36.29,重型栏板货车,58,2021,3,5,278卡口
116.04,36.29,小型普通客车,566,2021,3,5,278卡口
116.04,36.29,重型栏板货车,44,2021,3,5,278卡口
116.04,36.29,小型普通客车,583,2021,3,5,278卡口
116.04,36.29,重型栏板货车,50,2021,3,5,278卡口
116.04,36.29,小型汽车,94,2021,3,6,278卡口
116.04,36.29,大型汽车,3,2021,3,6,278卡口
116.04,36.29,小型汽车,74,2021,3,6,278卡口
116.04,36.29,大型汽车,5,2021,3,6,278卡口
116.04,36.29,小型汽车,54,2021,3,6,278卡口
116.04,36.29,大型汽车,4,2021,3,6,278卡口
116.04,36.29,小型普通客车,16,2021,3,6,278卡口
