年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,24,普通二轮摩托车,黑龙,2
2021,3,24,重型栏板货车,黑龙,2597
2021,3,25,其它,黑龙,101
2021,3,25,大型汽车,黑龙,1140
2021,3,25,小型普通客车,黑龙,12711
2021,3,25,小型汽车,黑龙,2060
2021,3,25,微型栏板货车,黑龙,1
2021,3,25,普通二轮摩托车,黑龙,2
2021,3,25,重型栏板货车,黑龙,2778
2021,3,26,其它,黑龙,130
2021,3,26,大型汽车,黑龙,1181
2021,3,26,小型普通客车,黑龙,12820
2021,3,26,小型汽车,黑龙,2015
2021,3,26,普通二轮摩托车,黑龙,2
2021,3,26,重型栏板货车,黑龙,2630
2021,3,27,其它,黑龙,83
2021,3,27,大型汽车,黑龙,1125
2021,3,27,小型普通客车,黑龙,12893
2021,3,27,小型汽车,黑龙,2159
2021,3,27,普通二轮摩托车,黑龙,1
2021,3,27,重型栏板货车,黑龙,2358
2021,3,28,其它,黑龙,77
2021,3,28,大型汽车,黑龙,1042
2021,3,28,小型普通客车,黑龙,11125
2021,3,28,小型汽车,黑龙,1956
2021,3,28,重型栏板货车,黑龙,2407
2021,3,29,其它,黑龙,86
2021,3,29,大型汽车,黑龙,1177
2021,3,29,小型普通客车,黑龙,13005
2021,3,29,小型汽车,黑龙,2047
2021,3,29,普通二轮摩托车,黑龙,1
2021,3,29,重型栏板货车,黑龙,2728
2021,3,30,其它,黑龙,114
2021,3,30,大型汽车,黑龙,1075
2021,3,30,小型普通客车,黑龙,12937
2021,3,30,小型汽车,黑龙,2111
2021,3,30,普通二轮摩托车,黑龙,2
2021,3,30,重型栏板货车,黑龙,2838
2021,3,31,其它,黑龙,76
2021,3,31,大型汽车,黑龙,1244
2021,3,31,小型普通客车,黑龙,12647
2021,3,31,小型汽车,黑龙,1956
2021,3,31,普通二轮摩托车,黑龙,1
2021,3,31,重型栏板货车,黑龙,2572
2021,4,1,其它,黑龙,78
2021,4,1,大型汽车,黑龙,872
2021,4,1,小型普通客车,黑龙,10099
2021,4,1,小型汽车,黑龙,1520
2021,4,1,普通二轮摩托车,黑龙,1
2021,4,1,重型栏板货车,黑龙,1615
2021,4,2,其它,黑龙,74
2021,4,2,大型汽车,黑龙,243
2021,4,2,小型普通客车,黑龙,6040
2021,4,2,小型汽车,黑龙,846
2021,4,2,普通二轮摩托车,黑龙,2
2021,4,2,重型栏板货车,黑龙,588
2021,4,3,其它,黑龙,59
2021,4,3,大型汽车,黑龙,198
2021,4,3,小型普通客车,黑龙,5287
2021,4,3,小型汽车,黑龙,618
2021,4,3,重型栏板货车,黑龙,513
2021,4,4,其它,黑龙,67
2021,4,4,大型汽车,黑龙,125
2021,4,4,小型普通客车,黑龙,4674
2021,4,4,小型汽车,黑龙,547
2021,4,4,重型栏板货车,黑龙,363
2021,4,5,其它,黑龙,54
2021,4,5,大型汽车,黑龙,136
2021,4,5,小型普通客车,黑龙,4862
2021,4,5,小型汽车,黑龙,537
2021,4,5,普通二轮摩托车,黑龙,1
2021,4,5,重型栏板货车,黑龙,440
2021,4,6,其它,黑龙,83
2021,4,6,大型汽车,黑龙,176
2021,4,6,小型普通客车,黑龙,6277
2021,4,6,小型汽车,黑龙,812
2021,4,6,普通二轮摩托车,黑龙,1
2021,4,6,重型栏板货车,黑龙,547
2021,4,7,其它,黑龙,62
2021,4,7,大型汽车,黑龙,218
2021,4,7,小型普通客车,黑龙,6168
2021,4,7,小型汽车,黑龙,818
2021,4,7,普通二轮摩托车,黑龙,2
2021,4,7,重型栏板货车,黑龙,570
2021,4,8,其它,黑龙,56
2021,4,8,大型汽车,黑龙,222
2021,4,8,小型普通客车,黑龙,6010
2021,4,8,小型汽车,黑龙,810
2021,4,8,普通二轮摩托车,黑龙,2
2021,4,8,重型栏板货车,黑龙,610
2021,4,9,其它,黑龙,70
2021,4,9,大型汽车,黑龙,187
2021,4,9,小型普通客车,黑龙,6250
2021,4,9,小型汽车,黑龙,796
2021,4,9,普通二轮摩托车,黑龙,2
2021,4,9,重型栏板货车,黑龙,551
2021,4,10,其它,黑龙,80
2021,4,10,大型汽车,黑龙,232
2021,4,10,小型普通客车,黑龙,5646
2021,4,10,小型汽车,黑龙,714
2021,4,10,普通二轮摩托车,黑龙,2
2021,4,10,重型栏板货车,黑龙,512
